,Full Address,LAT_LONG
0,"600 WEST 133RD STREET New York, NY 10027",
1,"1473 AMSTERDAM AVENUE                     New York, NY 10027",
2,"1473 AMSTERDAM AVENUE New York, NY 10027",
3,"55 TIEMANN PLACE New York, NY 10027",
4,"454 ST. NICHOLAS AVE                      New York, NY 10027",
5,"200 CLAREMONT AVENUE New York, NY 10027",
6,"38 CONVENT AVENUE                         New York, NY 10027",
7,"2467 FREDRICK DOUGLASS BL                 New York, NY 10027",
8,"464 WEST 130TH STREET                     New York, NY 10027",
9,"2457 8TH AVE New York, NY 10027",
10,"36 CONVENT AVENUE New York, NY 10027",
11,"273 WEST 131 STREET                       New York, NY 10027",
12,"270 WEST 132 STREET New York, NY 10027",
13,"410 ST NICHOLAS AVENUE                    New York, NY 10027",
14,"252 WEST 132 STREET                       New York, NY 10027",
15,"29 CONVENT AVE New York, NY 10027",
16,"250 WEST 132ND STREET New York, NY 10027",
17,"170 CLAREMONT AVENUE New York, NY 10027",
18,"242 WEST 132 STREET New York, NY 10027",
19,"261 WEST 131ST STREET                     New York, NY 10027",
20,"261 WEST 131 STREET                       New York, NY 10027",
21,"232 WEST 132ND STREET New York, NY 10027",
22,"2257 ADAM CLAYTON POWELL                  New York, NY 10027",
23,"1345 AMSTERDAM AVENUE                     New York, NY 10027",
24,"2253 7TH AVENUE                           New York, NY 10027",
25,"125 WEST 133 STREET                       New York, NY 10027",
26,"206 WEST 132 STREET                       New York, NY 10027",
27,"3117 BROADWAY New York, NY 10027",
28,"2247 7TH AVENUE                           New York, NY 10027",
29,"219 WEST 131 STREET New York, NY 10027",
30,"217 WEST 131 STREET                       New York, NY 10027",
31,"213 WEST 131 STREET New York, NY 10027",
32,"25 ST NICHOLAS TERRACE                    New York, NY 10027",
33,"132 WEST 133 STREET                       New York, NY 10027",
34,"100 LASALLE New York, NY 10027",
35,"100 LA SALLE STREET New York, NY 10027",
36,"100 LASALLE STREET New York, NY 10027",
37,"400 WEST 128 STREET                       New York, NY 10027",
38,"6 CONVENT AVENUE New York, NY 10027",
39,"429 WEST 126 STREET New York, NY 10027",
40,"171 WEST 131 STREET New York, NY 10027",
41,"449 WEST 125 STREET                       New York, NY 10027",
42,"70 LA SALLE New York, NY 10027",
43,"80 LA SALLE STREET New York, NY 10027",
44,"80 LASALLE STREET New York, NY 10027",
45,"5 ST NICHOLAS TERRACE New York, NY 10027",
46,"362 SAINT NICHOLAS AVENU New York, NY 10027",
47,"6 ST NICHOLAS TERRACE                     New York, NY 10027",
48,"153 WEST 131 STREET New York, NY 10027",
49,"118 WEST 132ND STREET New York, NY 10027",
50,"420 WEST 126 STREET New York, NY 10027",
51,"245 WEST 129 STREET                       New York, NY 10027",
52,"418 WEST 126 STREET New York, NY 10027",
53,"549 WEST 123TH STREET New York, NY 10027",
54,"549 WEST 123RD STREET New York, NY 10027",
55,"131 WEST 131ST STREET New York, NY 10027",
56,"152 WEST 131 STREET New York, NY 10027",
57,"148 WEST 131ST STREET New York, NY 10027",
58,"402 WEST 126 STREET New York, NY 10027",
59,"211 WEST 129 STREET                       New York, NY 10027",
60,"2180 ADAM C POWELL BLVD                   New York, NY 10027",
61,"2195 ADAM C POWELL BLVD                   New York, NY 10027",
62,"2195 SEVENTH AVE                          New York, NY 10027",
63,"2371 8 AVENUE New York, NY 10027",
64,"168 WEST 130 STREET                       New York, NY 10027",
65,"501 WEST 123RD STREET New York, NY 10027",
66,"501 WEST 123RD ST New York, NY 10027",
67,"145-47 MORNINGSIDE AVE New York, NY 10027",
68,"308 WEST 127 STREET                       New York, NY 10027",
69,"381 WEST 125TH STREET New York, NY 10027",
70,"113 WEST 130 STREET New York, NY 10027",
71,"165 WEST 129 STREET                       New York, NY 10027",
72,"111 WEST 130 STREET New York, NY 10027",
73,"379 WEST 125 STREET New York, NY 10027",
74,"134 WEST 130 STREET                       New York, NY 10027",
75,"377 WEST 125TH STREET New York, NY 10027",
76,"321 ST NICHOLAS AVE New York, NY 10027",
77,"321 ST NICHOLAS AVENUE New York, NY 10027",
78,"159 WEST 129TH STREET                     New York, NY 10027",
79,"307 WEST 126TH STREET                     New York, NY 10027",
80,"WEST 128 STREET New York, NY 10027",
81,"509 WEST 122ND STREET New York, NY 10027",
82,"509 WEST 122ND ST. New York, NY 10027",
83,"509 WEST 122 New York, NY 10027",
84,"1264 AMSTERDAM AVENUE New York, NY 10027",
85,"280 WEST 127 STREET                       New York, NY 10027",
86,"501 WEST 122ND STREET New York, NY 10027",
87,"523 WEST 121ST STREET New York, NY 10027",
88,"381 LENOX AVE.                            New York, NY 10027",
89,"2340 8 AVENUE New York, NY 10027",
90,"116 WEST 129 STREET New York, NY 10027",
91,"380 LENOX AVENUE New York, NY 10027",
92,"380 LENOX AVENUE                          New York, NY 10027",
93,"109 WEST 128 STREET                       New York, NY 10027",
94,"431 WEST 121ST New York, NY 10027",
95,"58 WEST 129TH STREET                      New York, NY 10027",
96,"58 WEST 129 STREET New York, NY 10027",
97,"239-241 WEST 125TH STREET                 New York, NY 10027",
98,"270 ST NICHOLAS AVENUE New York, NY 10027",
99,"414 WEST 121ST STREET New York, NY 10027",
100,"175 WEST 126 ST New York, NY 10027",
101,"346 WEST 123 STREET New York, NY 10027",
102,"155 WEST 126 STREET                       New York, NY 10027",
103,"359 WEST 122 STREET New York, NY 10027",
104,"250 WEST 125TH New York, NY 10027",
105,"258 SAINT NICHOLAS AVE                    New York, NY 10027",
106,"258 SAINT NICHOLAS AVENU New York, NY 10027",
107,"2300 FREDRICK DOUGLASS BL New York, NY 10027",
108,"2300 FREDERICK DOUGLASS B New York, NY 10027",
109,"116 WEST 127 STREET                       New York, NY 10027",
110,"18 WEST 129 STREET                        New York, NY 10027",
111,"125 WEST 126TH STREET                     New York, NY 10027",
112,"346 WEST 122 STREET                       New York, NY 10027",
113,"440 RIVERSIDE DRIVE New York, NY 10027",
114,"N/A WEST 122 STREET                       New York, NY 10027",
115,"303 WEST 122 STREET New York, NY 10027",
116,"303 WEST 122ND STREET New York, NY 10027",
117,"2092-2094 5 AVENUE                        New York, NY 10027",
118,"32 WEST 128 STREET                        New York, NY 10027",
119,"57 WEST 127 STREET                        New York, NY 10027",
120,"251 WEST 123RD STREET New York, NY 10027",
121,"3 WEST 128 STREET                         New York, NY 10027",
122,"76 WEST 127 STREET                        New York, NY 10027",
123,"345 WEST 121 STREET                       New York, NY 10027",
124,"148 WEST 125 STREET                       New York, NY 10027",
125,"2280 FREDRICK DOUGLAS BOU New York, NY 10027",
126,"2280 FREDRICK DOUGLASS BL                 New York, NY 10027",
127,"2280 FREDRICK DOUGLASS BL New York, NY 10027",
128,"302 WEST 122 STREET                       New York, NY 10027",
129,"25 WEST 127 STREET New York, NY 10027",
130,"50 WEST 127 STREET New York, NY 10027",
131,"50 WEST 127TH STREET                      New York, NY 10027",
132,"2070 ADAM C POWELL BLVD New York, NY 10027",
133,"44 WEST 127 STREET New York, NY 10027",
134,"252 WEST 123 STREET New York, NY 10027",
135,"59 MORNINGSIDE AVENUE New York, NY 10027",
136,"145-57 MORNINGSIDE AVE New York, NY 10027",
137,"371 WEST 120TH STREET New York, NY 10027",
138,"13 WEST 127TH STREET                      New York, NY 10027",
139,"497 MANHATTAN AVENUE New York, NY 10027",
140,"265 WEST 122ND STREET                     New York, NY 10027",
141,"361 WEST 120 STREET                       New York, NY 10027",
142,"357 WEST 120TH STREET New York, NY 10027",
143,"355 WEST 120TH STREET New York, NY 10027",
144,"355 WEST 120 STREET New York, NY 10027",
145,"2268 FREDRICK DOUGLASS BL                 New York, NY 10027",
146,"2071 ADAM C POWELL BLVD                   New York, NY 10027",
147,"216 WEST 123 STREET                       New York, NY 10027",
