,Full Address,LAT_LONG
0,"199 2 AVENUE                              New York, NY 10003",
1,"260 5 AVENUE                              New York, NY 10001","(40.5879786298343, -73.9731369944751)"
2,"200 EAST END New York, NY 10128","(40.643102, -73.714349)"
3,"190 EAST 2ND   STREET                     New York, NY 10009",
4,"200 RECTOR PLACE                          New York, NY 10280",
5,"225 RECTOR PLACE                          New York, NY 10280","(40.7092957, -74.0161233)"
6,"300 ALBANY STREET                         New York, NY 10280","(40.7099316, -74.0167823318225)"
7,"305 CHERRY STREET                         New York, NY 10002","(40.7112517, -73.9877492722533)"
8,"197 MADISON STREET New York, NY 10002",
9,"207 MADISON STREET                        New York, NY 10002","(40.71292515, -73.989532155548)"
10,"21 CATHERINE STREET                       New York, NY 10038",
11,"201 HENRY STREET New York, NY 10002","(40.71378125, -73.9875056958516)"
12,"201 EAST BROADWAY                         New York, NY 10002",
13,"203 EAST BROADWAY                         New York, NY 10002",
14,"2 PIKE STREET                             New York, NY 10002",
15,"2 ALLEN STREET New York, NY 10002",
16,"208 EAST BROADWAY New York, NY 10002",
17,"19 ELDRIDGE STREET                        New York, NY 10002",
18,"19 ESSEX STREET                           New York, NY 10002",
19,"21 LUDLOW STREET                          New York, NY 10002",
20,"24 LUDLOW STREET                          New York, NY 10002","(40.71538355, -73.99055225)"
21,"30 ORCHARD STREET                         New York, NY 10002","(40.715608, -73.9912780314162)"
22,"27 ESSEX STREET                           New York, NY 10002","(40.715698, -73.989795)"
23,"2 RIVER TERRACE                           New York, NY 10280",
24,"2 RIVER TERRACE New York, NY 10280","(40.71573285, -74.0157505590536)"
25,"208 DELANCEY STREET New York, NY 10002",
26,"290 GRAND STREET                          New York, NY 10002","(40.7177236, -73.9920503)"
27,"236 BROOME STREET                         New York, NY 10002","(40.7179022857143, -73.9892105714286)"
28,"190 BOWERY                                New York, NY 10012","(40.7211707, -73.9939358)"
29,"199 MOTT New York, NY 10012","(40.7212565, -73.9958873485406)"
30,"190 ALLEN STREET                          New York, NY 10002",
31,"200 BOWERY                                New York, NY 10012",
32,"201 MULBERRY STREET                       New York, NY 10012",
33,"201 MULBERRY STREET New York, NY 10012","(40.721501, -73.9965632)"
34,"209 EAST 2ND   STREET                     New York, NY 10009",
35,"201 CHRYSTIE STREET New York, NY 10002",
36,"196 ORCHARD STREET                        New York, NY 10002","(40.722304, -73.9879659)"
37,"217 EAST 3RD   STREET New York, NY 10009","(40.7225292, -73.9822054823825)"
38,"192 EAST 3RD   STREET                     New York, NY 10009",
39,"197 EAST 3RD   STREET                     New York, NY 10009","(40.72297255, -73.9832378867832)"
40,"197 EAST 3RD STREET                       New York, NY 10009","(40.72297255, -73.9832378867832)"
41,"238 EAST 4TH   STREET                     New York, NY 10009","(40.7232809, -73.9830159274315)"
42,"24 1ST AVENUE                             New York, NY 10009","(40.72361095, -73.9878547596266)"
43,"262 ELIZABETH STREET                      New York, NY 10012","(40.72390985, -73.9934420262729)"
44,"205 EAST 4TH   STREET                     New York, NY 10009",
45,"206 EAST 7TH STREET New York, NY 10009",
46,"295 LAFAYETTE STREET                      New York, NY 10012","(40.724465, -73.995705)"
47,"199 EAST 7TH STREET New York, NY 10009","(40.724752, -73.9801964)"
48,"199 EAST 7TH   STREET New York, NY 10009","(40.724752, -73.9801964)"
49,"188 SPRING STREET                         New York, NY 10012","(40.72490145, -74.0030228844034)"
50,"190 SPRING STREET                         New York, NY 10012",
51,"298 ELIZABETH STREET                      New York, NY 10012","(40.724943, -73.9930239075078)"
52,"2 BLEECKER STREET                         New York, NY 10012",
53,"191 SPRING STREET                         New York, NY 10012",
54,"208-210 SPRING STREET New York, NY 10012",
55,"19 EAST HOUSTON STREET                    New York, NY 10012","(40.72534635, -73.9960604)"
56,"203 SPRING STREET New York, NY 10012","(40.7253962, -74.0034071)"
57,"200 MERCER STREET New York, NY 10012","(40.7263433, -73.9965864)"
58,"193 PRINCE STREET                         New York, NY 10012",
59,"197 PRINCE STREET                         New York, NY 10012",
60,"199 PRINCE STREET                         New York, NY 10012",
61,"189 AVENUE  C New York, NY 10009","(40.726868, -73.976923)"
62,"2 BOND STREET New York, NY 10012",
63,"208-210 EAST 6TH STREET                   New York, NY 10003",
