Full Address,LAT_LONG
"509 WEST 122ND STREET New York, NY 10027","[40.8111888, -73.9589573]"
"509 WEST 122ND ST. New York, NY 10027","[40.8111888, -73.9589573]"
"509 WEST 122 New York, NY 10027","[40.8111888, -73.9589573]"
"1264 AMSTERDAM AVENUE New York, NY 10027","[40.8110367, -73.9583648]"
"280 WEST 127 STREET                       New York, NY 10027","[40.811036, -73.94982399999999]"
"501 WEST 122ND STREET New York, NY 10027","[40.810944, -73.9585839]"
"523 WEST 121ST STREET New York, NY 10027","[40.8109016, -73.96025159999999]"
"381 LENOX AVE.                            New York, NY 10027","[40.8106508, -73.94385799999999]"
"2340 8 AVENUE New York, NY 10027","[40.8105257, -73.9505625]"
"116 WEST 129 STREET New York, NY 10027","[40.81047299999999, -73.94459599999999]"
"380 LENOX AVENUE New York, NY 10027","[40.8102916, -73.9432633]"
"380 LENOX AVENUE                          New York, NY 10027","[40.8102916, -73.9432633]"
"109 WEST 128 STREET                       New York, NY 10027","[40.8101178, -73.94465009999999]"
"431 WEST 121ST New York, NY 10027","[40.8099879, -73.9582269]"
"58 WEST 129TH STREET                      New York, NY 10027","[40.809855, -73.94314899999999]"
"58 WEST 129 STREET New York, NY 10027","[40.809855, -73.94314899999999]"
"239-241 WEST 125TH STREET                 New York, NY 10027","[40.8098292, -73.94974959999999]"
"270 ST NICHOLAS AVENUE New York, NY 10027","[40.8097628, -73.95265189999999]"
"414 WEST 121ST STREET New York, NY 10027","[40.8097385, -73.9580813]"
"175 WEST 126 ST New York, NY 10027","[40.8096296, -73.9473136]"
"346 WEST 123 STREET New York, NY 10027","[40.809543, -73.9541558]"
"155 WEST 126 STREET                       New York, NY 10027","[40.809443, -73.94675]"
"359 WEST 122 STREET New York, NY 10027","[40.809397, -73.95473]"
"250 WEST 125TH New York, NY 10027","[40.80937429999999, -73.95005739999999]"
"258 SAINT NICHOLAS AVE                    New York, NY 10027","[40.8093161, -73.952629]"
"258 SAINT NICHOLAS AVENU New York, NY 10027","[40.8093161, -73.952629]"
"2300 FREDRICK DOUGLASS BL New York, NY 10027","[40.8092807, -73.9515405]"
"2300 FREDERICK DOUGLASS B New York, NY 10027","[40.8092807, -73.9515405]"
"116 WEST 127 STREET                       New York, NY 10027","[40.80922100000001, -73.945493]"
"18 WEST 129 STREET                        New York, NY 10027","[40.809219, -73.9416537]"
"125 WEST 126TH STREET                     New York, NY 10027","[40.8090737, -73.94598189999999]"
"346 WEST 122 STREET                       New York, NY 10027","[40.8089242, -73.95468389999999]"
"440 RIVERSIDE DRIVE New York, NY 10027","[40.80889579999999, -73.9652479]"
"N/A WEST 122 STREET                       New York, NY 10027","[40.808865, -73.954048]"
"303 WEST 122 STREET New York, NY 10027","[40.8088388, -73.953203]"
"303 WEST 122ND STREET New York, NY 10027","[40.8088388, -73.953203]"
"2092-2094 5 AVENUE                        New York, NY 10027","[40.80883300000001, -73.94091]"
"32 WEST 128 STREET                        New York, NY 10027","[40.80882889999999, -73.94243440000001]"
"57 WEST 127 STREET                        New York, NY 10027","[40.8087491, -73.9432954]"
"251 WEST 123RD STREET New York, NY 10027","[40.8087404, -73.95102179999999]"
"3 WEST 128 STREET                         New York, NY 10027","[40.808725, -73.941186]"
"76 WEST 127 STREET                        New York, NY 10027","[40.8086835, -73.9440532]"
"345 WEST 121 STREET                       New York, NY 10027","[40.8086098, -73.9549135]"
"148 WEST 125 STREET                       New York, NY 10027","[40.8084532, -73.9477843]"
"2280 FREDRICK DOUGLAS BOU New York, NY 10027","[40.8084088, -73.9521355]"
"2280 FREDRICK DOUGLASS BL                 New York, NY 10027","[40.80839539999999, -73.95211929999999]"
"2280 FREDRICK DOUGLASS BL New York, NY 10027","[40.80839539999999, -73.95211929999999]"
"302 WEST 122 STREET                       New York, NY 10027","[40.8083928, -73.95345549999999]"
