,Full Address,LAT_LONG
0,"231 WEST 121 STREET                       New York, NY 10027",
1,"301 EAST 94 STREET                        New York, NY 10128",
2,"2108-2118 ADAM C POWELL BLVD              New York, NY 10027",
3,"278 WEST 127 STREET                       New York, NY 10027",
4,"231 WEST 122 STREET                       New York, NY 10027",
5,"300 WEST 109 STREET New York, NY 10025",
6,"301 EAST 78 STREET New York, NY 10075",
7,"245 EAST 93 ST                            New York, NY 10128",
8,"238 WEST 132 STREET                       New York, NY 10027",
9,"255 WEST 108 New York, NY 10025",
10,"30 WEST 129 STREET                        New York, NY 10027",
11,"241 WEST 108 STREET New York, NY 10025",
12,"2143 ADAM C POWELL BLVD                   New York, NY 10027",
13,"225 WEST 83                               New York, NY 10024",
14,"241 WEST 36TH New York, NY 10018",
15,"300 WEST 108 STREET New York, NY 10025",
16,"230 EAST 15 STREET New York, NY 10003",
17,"272 WEST 107 ST                           New York, NY 10025",
18,"26 WEST 97 STREET New York, NY 10025",
19,"220 W 83 ST                               New York, NY 10024",
20,"275 WEST 96TH                             New York, NY 10025",
21,"261 WEST 132 STREET                       New York, NY 10027",
22,"220 EAST 73 ST New York, NY 10021",
23,"30 WEST 90 STREET New York, NY 10024",
24,"31 WEST 95 STREET                         New York, NY 10025",
25,"245 E87TH STREET New York, NY 10128",
26,"251 WEST 121 STREET                       New York, NY 10027",
27,"233 EAST70 ST New York, NY 10021",
28,"3-5 WEST 122 STREET                       New York, NY 10027",
29,"226-230 EAST 12TH New York, NY 10003",
30,"305 WEST 105 STREET New York, NY 10025",
31,"213 WEST 122 STREET                       New York, NY 10027",
32,"225 E. 73 STREET New York, NY 10021",
33,"210 EAST 63 STREET New York, NY 10065",
34,"226 WEST 132 STREET New York, NY 10027",
35,"272 WEST 107 STREET New York, NY 10025",
36,"301 EAST 62 STREET New York, NY 10065",
37,"316 WEST 101 STREET                       New York, NY 10025",
38,"330 EAST 75 ST                            New York, NY 10021",
39,"350 EAST 72 STREET                        New York, NY 10021",
40,"34 WEST 36 ST                             New York, NY 10018",
41,"32 WEST 126 STREET                        New York, NY 10027",
42,"32 EAST 76 ST                             New York, NY 10021",
43,"321 WEST 89                               New York, NY 10024",
44,"319 WEST 82ND                             New York, NY 10024",
45,"310 WEST 109 STREET                       New York, NY 10025",
46,"319 WEST 103 STREET                       New York, NY 10025",
47,"310 WEST 121 STREET                       New York, NY 10027",
48,"355 WEST 123 STREET                       New York, NY 10027",
49,"345 EAST 80 STREET                        New York, NY 10075",
50,"350 EAST 82 STREET                        New York, NY 10028",
51,"358 WEST 123 STREET                       New York, NY 10027",
52,"324 W 83                                  New York, NY 10024",
53,"323 WEST 101 STREET                       New York, NY 10025",
54,"345 WEST 88TH New York, NY 10024",
55,"316 WEST 82ND New York, NY 10024",
56,"332 E 84 ST New York, NY 10028",
57,"320 WEST 83 STREET New York, NY 10024",
58,"33 MOUNT MORRIS PARK WE New York, NY 10027",
59,"360 WEST 123 STREET                       New York, NY 10027",
60,"310 WEST 120 STREET                       New York, NY 10027",
61,"379 WEST 127 STREET New York, NY 10027",
62,"35 EAST 85 STREET New York, NY 10028",
63,"360 WEST 31 STREET                        New York, NY 10001",
64,"316 W 82 ST New York, NY 10024",
65,"360 WEST 122 STREET                       New York, NY 10027",
66,"362 WEST 127 STREET New York, NY 10027",
67,"363 E 76 STREET New York, NY 10075",
68,"360 EAST 72 STREET New York, NY 10021",
69,"371 WEST 126 STREET New York, NY 10027",
70,"315 WEST 99 STREET New York, NY 10025",
71,"4 WEST 109 STREET New York, NY 10025",
72,"350 EAST 77 STREET New York, NY 10075",
73,"371 WEST 120 STREET New York, NY 10027",
74,"40-50 EAST 10 STREET New York, NY 10003",
75,"371 WEST 123 STREET                       New York, NY 10027",
76,"35 WEST 128 STREET New York, NY 10027",
77,"35 EAST 75 STREET New York, NY 10021",
78,"377 WEST 125 STREET New York, NY 10027",
79,"311 EAST 12 STREET                        New York, NY 10003",
80,"338 E 78 ST New York, NY 10075",
81,"325 EAST 79 STREET New York, NY 10075",
82,"40 EAST 88 New York, NY 10128",
83,"321 EAST 71 STREET New York, NY 10021",
84,"40 WEST 77TH New York, NY 10024",
85,"310 WEST 78 STREET                        New York, NY 10024",
86,"362 WEST 125 STREET                       New York, NY 10027",
87,"38 WEST 96 STREET                         New York, NY 10025",
88,"318 EAST 73 STREET                        New York, NY 10021",
89,"318 WEST 107 STREET                       New York, NY 10025",
90,"312 WEST 121 STREET                       New York, NY 10027",
91,"317 WEST 35 STREET                        New York, NY 10001",
92,"340 E 93                                  New York, NY 10128",
93,"315 EAST 72 STREET New York, NY 10021",
94,"350 EAST 77 New York, NY 10075",
95,"337 EAST 8TH                              New York, NY 10009",
96,"372 CPW                                   New York, NY 10025",
97,"310 WEST 106 STREET New York, NY 10025",
98,"333 EAST 91ST New York, NY 10128",
99,"360 WEST36 ST New York, NY 10018",
100,"315 EAST 68 STREET New York, NY 10065",
101,"311 EAST 71 STREET New York, NY 10021",
102,"314 WEST 100 STREET New York, NY 10025",
103,"368 WEST 127 STREET                       New York, NY 10027",
104,"345 WEST 29TH New York, NY 10001",
105,"370 EAST 76 STREET New York, NY 10021",
106,"318 WEST 100 STREET New York, NY 10025",
107,"357 WEST 29 STREET New York, NY 10001",
108,"363 EAST 76 STREET New York, NY 10075",
109,"340 WEST 86 STREET                        New York, NY 10024",
110,"369 WEST 123 STREET                       New York, NY 10027",
111,"320 W 84 STREET New York, NY 10024",
112,"40 EAST 94 STREET                         New York, NY 10128",
113,"327 EAST 3 STREET New York, NY 10009",
114,"315 WEST 106 STREET New York, NY 10025",
115,"327 WEST 126 STREET                       New York, NY 10027",
116,"33 WEST 126 STREET                        New York, NY 10027",
117,"4 WEST 109TH New York, NY 10025",
118,"340 EAST 64 ST                            New York, NY 10065",
119,"319 WEST 35 STREET                        New York, NY 10001",
120,"342 1 AVENUE                              New York, NY 10009",
121,"40 EAST 78 STREET                         New York, NY 10075",
122,"329 WEST 101 STREET                       New York, NY 10025",
123,"333 EAST 14 STREET New York, NY 10003",
124,"315 E 68 ST New York, NY 10065",
125,"345 E 73 ST New York, NY 10021",
126,"321 WEST 108 STREET                       New York, NY 10025",
127,"361 WEST 36 New York, NY 10018",
128,"322 EAST6TH STREET                        New York, NY 10003",
129,"327 EAST 65 STREET                        New York, NY 10065",
130,"322 WEST 104 STREET New York, NY 10025",
131,"313 EAST 92 STREET                        New York, NY 10128",
132,"330 EAST 70 STREET New York, NY 10021",
133,"38 EAST 68 STREET                         New York, NY 10065",
134,"311 EAST 71 ST New York, NY 10021",
135,"35 MOUNT MORRIS PARK WE New York, NY 10027",
136,"351 WEST 125 STREET New York, NY 10027",
137,"375 WEST 127 STREET New York, NY 10027",
138,"363 EAST 76 ST New York, NY 10075",
139,"381 WEST 125 STREET New York, NY 10027",
140,"357 WEST 123 STREET New York, NY 10027",
141,"350 EAST 86TH   STREET                    New York, NY 10028","(40.77689115, -73.9501375207455)"
142,"389 9 AVENUE                              New York, NY 10001","(40.5882790612245, -73.9719147346939)"
