,Full Address,LAT_LONG
125,"300 EAST 62ND   STREET New York, NY 10065",
126,"200 EAST 61ST STREET                      New York, NY 10065",
127,"200 EAST 61ST   STREET                    New York, NY 10065",
128,"209 EAST 61ST STREET                      New York, NY 10065",
129,"200 EAST 61ST                             New York, NY 10065",
130,"209 EAST 62ND   STREET                    New York, NY 10065",
131,"201 EAST 62ND   STREET New York, NY 10065",
132,"210 EAST 63RD   STREET New York, NY 10065",
133,"206 EAST 63RD   STREET New York, NY 10065",
134,"205 EAST 63RD STREET New York, NY 10065",
135,"188 EAST 64TH STREET                      New York, NY 10065",
136,"188 EAST 64TH   STREET New York, NY 10065",
137,"188 E 64TH STREET                         New York, NY 10065",
138,"188 EAST 64TH   STREET                    New York, NY 10065",
139,"200 EAST 66TH ST                          New York, NY 10065",
140,"200 EAST 66TH STREET                      New York, NY 10065",
141,"200 EAST 66TH STREET New York, NY 10065",
142,"200 EAST 66TH   STREET                    New York, NY 10065",
143,"200 E 66TH STREET                         New York, NY 10065",
144,"200 EAST 65TH   STREET                    New York, NY 10065",
145,"200-210 EAST 65TH STREET                  New York, NY 10065",
146,"200 EAST 66TH New York, NY 10065",
147,"200 EAST 66TH                             New York, NY 10065",
148,"201 E 66TH STREET New York, NY 10065",
149,"201 EAST 66TH STREET New York, NY 10065",
150,"201 EAST 66TH New York, NY 10065",
151,"301 EAST 69TH   STREET                    New York, NY 10021",
152,"205 EAST 68TH STREET                      New York, NY 10065",
153,"205 EAST 68TH STREET New York, NY 10065",
154,"205 EAST 68TH   STREET                    New York, NY 10065",
155,"200 EAST 69TH   STREET                    New York, NY 10021",
156,"200 EAST 69TH STREET                      New York, NY 10021",
157,"19 EAST 65TH   STREET                     New York, NY 10065",
158,"205 EAST 69TH STREET New York, NY 10021",
159,"208 EAST 70TH   STREET New York, NY 10021",
160,"21 EAST 66TH   STREET                     New York, NY 10065",
161,"188 EAST 70TH STREET                      New York, NY 10021",
162,"188 EAST 70TH   STREET New York, NY 10021",
163,"308 EAST 72ND   STREET                    New York, NY 10021",
164,"305 EAST 72ND   STREET                    New York, NY 10021",
165,"203 EAST 71ST   STREET                    New York, NY 10021",
166,"2 EAST 67TH STREET New York, NY 10065",
167,"203 EAST 72ND STREET New York, NY 10021",
168,"205 EAST 72ND STREET New York, NY 10021",
169,"235 EAST 73RD   STREET New York, NY 10021",
170,"206 EAST 73RD STREET                      New York, NY 10021",
171,"206 EAST 73RD   STREET                    New York, NY 10021",
172,"225 EAST 73RD  STREET New York, NY 10021",
173,"2 EAST END AVENUE New York, NY 10075",
174,"244 EAST 75TH STREET                      New York, NY 10021",
175,"19 EAST 70TH   STREET                     New York, NY 10021",
176,"207 EAST 74TH ST. New York, NY 10021",
177,"207 EAST 74TH   STREET New York, NY 10021",
178,"207 EAST 74TH STREET New York, NY 10021",
179,"196 EAST 75TH STREET New York, NY 10021",
180,"188 EAST 75TH ST New York, NY 10021",
181,"19 EAST 72ND STREET New York, NY 10021",
182,"306 EAST 78TH   STREET New York, NY 10075",
183,"188 EAST 76TH   STREET                    New York, NY 10021",
184,"195 EAST 76TH STREET                      New York, NY 10021",
185,"308 EAST 79TH   STREET New York, NY 10075",
186,"213 EAST 77TH   STREET                    New York, NY 10075",
187,"201 EAST 77TH   STREET                    New York, NY 10075",
188,"20 EAST 74TH STREET New York, NY 10021",
189,"20 EAST 74TH STREET                       New York, NY 10021",
190,"239 EAST 78TH STREET                      New York, NY 10075",
191,"200 EAST 78TH STREET New York, NY 10075",
192,"240 EAST 79TH   STREET New York, NY 10075",
193,"205 E 78TH STREET New York, NY 10075",
194,"205 EAST 78TH   STREET                    New York, NY 10021",
195,"188 EAST 78TH   STREET                    New York, NY 10075",
196,"200 EAST 79TH STREET New York, NY 10075",
197,"200 EAST 79TH   STREET                    New York, NY 10075",
198,"308 EAST 81ST   STREET                    New York, NY 10028",
199,"201 E 79TH STREET New York, NY 10075",
200,"201 EAST 80TH STREET New York, NY 10075",
201,"201 EAST 80TH STREET                      New York, NY 10075",
202,"201 EAST 80TH   STREET New York, NY 10075",
203,"229 EAST 81ST   STREET New York, NY 10028",
204,"225 EAST 81ST STREET                      New York, NY 10028",
205,"215 EAST 81ST STREET                      New York, NY 10028",
206,"201 E 83RD STREET New York, NY 10028",
207,"216 EAST 84TH   STREET                    New York, NY 10028",
208,"208 EAST 84TH STREET New York, NY 10028",
209,"200 EAST 84TH ST New York, NY 10028",
210,"200 EAST 84TH STREET New York, NY 10028",
211,"205 EAST 85TH   STREET New York, NY 10028",
212,"205 EAST 85TH   STREET                    New York, NY 10028",
213,"234 EAST 88TH   STREET                    New York, NY 10128",
214,"21 EAST 83RD   STREET                     New York, NY 10028",
215,"237 EAST 88TH STREET                      New York, NY 10128",
216,"20 WEST 77TH STREET                       New York, NY 10024",
217,"20 WEST 77TH   STREET New York, NY 10024",
218,"30 EAST 85TH   STREET                     New York, NY 10028",
219,"30 EAST 85TH STREET                       New York, NY 10028",
220,"201 WEST 74TH STREET New York, NY 10002",
221,"200 EAST 89TH ST                          New York, NY 10128",
222,"200 EAST 89TH   STREET New York, NY 10128",
223,"200 EAST 89TH STREET                      New York, NY 10128",
224,"205 EAST 89TH STREET New York, NY 10128",
225,"208 EAST 90TH STREET New York, NY 10128",
226,"206 EAST 90TH   STREET New York, NY 10128",
227,"204 EAST 90TH STREET New York, NY 10128",
228,"200 EAST 90TH STREET New York, NY 10128",
229,"300 EAST 93RD   STREET                    New York, NY 10128",
230,"20 EAST 88TH   STREET                     New York, NY 10128",
231,"20 EAST 88TH ST New York, NY 10128",
232,"20 EAST 88TH STREET New York, NY 10128",
233,"20 EAST 88TH   STREET New York, NY 10128",
234,"19 EAST 88TH STREET New York, NY 10128",
235,"204 WEST 78TH STREET New York, NY 10024",
236,"245 EAST 93RD STREET                      New York, NY 10128",
237,"2 EAST 88TH STREET New York, NY 10128",
238,"301 EAST 94TH   STREET New York, NY 10128",
239,"223 WEST 78TH   STREET                    New York, NY 10024",
240,"225 WEST 78TH STREET                      New York, NY 10024",
241,"200 WEST 79TH   STREET New York, NY 10024",
242,"220 EAST 94TH   STREET                    New York, NY 10128",
243,"241-243 EAST 94TH STREET                  New York, NY 10128",
244,"200 EAST 94TH STREET                      New York, NY 10128",
245,"200 EAST 94TH   STREET                    New York, NY 10128",
246,"260 WEST 78TH   STREET                    New York, NY 10024",
247,"309 EAST 95TH   STREET                    New York, NY 10128",
248,"231-239 EAST 94TH STREET                  New York, NY 10128",
249,"224 EAST 95TH   STREET New York, NY 10128",
250,"206 WEST 80TH STREET                      New York, NY 10024",
251,"208 WEST 80TH   STREET New York, NY 10024",
252,"210 EAST 95TH   STREET New York, NY 10128",
253,"206 EAST 95TH   STREET New York, NY 10128",
254,"206 E 95TH STREET                         New York, NY 10128",
255,"206 EAST 95TH STREET                      New York, NY 10128",
256,"206 EAST 95TH   STREET                    New York, NY 10128",
257,"20 WEST 84TH   STREET                     New York, NY 10024",
258,"203 WEST 81ST   STREET                    New York, NY 10024",
259,"219 WEST 81ST   STREET New York, NY 10024",
260,"21 WEST 86TH   STREET                     New York, NY 10024",
261,"21 EAST 94TH   STREET                     New York, NY 10128",
262,"202 WEST 84TH   STREET                    New York, NY 10024",
263,"204 WEST 84TH   STREET                    New York, NY 10024",
264,"21 WEST 87TH   STREET                     New York, NY 10024",
265,"20 EAST 95TH STREET New York, NY 10128",
266,"205 WEST 84TH STREET New York, NY 10024",
267,"202 WEST 85TH STREET New York, NY 10024",
268,"208 WEST 85TH STREET New York, NY 10024",
269,"208 WEST 85TH   STREET New York, NY 10024",
270,"268 WEST 84TH STREET                      New York, NY 10024",
271,"213 WEST 85TH STREET                      New York, NY 10024",
272,"200 WEST 86TH New York, NY 10024",
273,"200 WEST 86TH STREET New York, NY 10024",
274,"200 WEST 86TH ST New York, NY 10024",
275,"25 WEST 89TH STREET                       New York, NY 10024",
276,"2 WEST 90TH   STREET New York, NY 10024",
277,"30 WEST 90TH   STREET                     New York, NY 10024",
278,"30 WEST 90TH STREET                       New York, NY 10024",
279,"203 WEST 87TH   STREET New York, NY 10024",
280,"203 WEST 87TH STREET New York, NY 10024",
281,"267 WEST 87TH   STREET                    New York, NY 10024",
282,"215 WEST 88TH ST                          New York, NY 10024",
283,"203 WEST 90TH STREET                      New York, NY 10024",
284,"203 WEST 90TH   STREET                    New York, NY 10024",
285,"215 WEST 90TH   STREET New York, NY 10024",
286,"23 WEST 94TH   STREET                     New York, NY 10025",
287,"250 WEST 90TH STREET                      New York, NY 10024",
288,"265 WEST 90TH STREET                      New York, NY 10024",
289,"202 WEST 92ND STREET New York, NY 10025",
290,"204 WEST 92ND STREET New York, NY 10025",
