,lat,long,year,count
0,40.760697,-73.958759,2015,9
1,40.7606974359683,-73.95875873607659,2014,9
2,40.7606974359683,-73.95875873607659,2016,7
3,40.761236,-73.961935,2015,1
4,40.7612364989828,-73.96193499821541,2014,1
5,40.7612364989828,-73.96193499821541,2016,1
6,40.761361,-73.95778,2015,16
7,40.7613613094154,-73.95778007602091,2014,10
8,40.7613613094154,-73.95778007602091,2016,8
9,40.761381,-73.960332,2015,2
10,40.761381429641105,-73.9603321748759,2014,4
11,40.761381429641105,-73.9603321748759,2016,1
12,40.7615785255631,-73.9588339960377,2014,8
13,40.7615785255631,-73.9588339960377,2016,9
14,40.761579,-73.958834,2015,14
15,40.761848,-73.961483,2015,9
16,40.761848426656606,-73.9614834233447,2014,4
17,40.761848426656606,-73.9614834233447,2016,9
18,40.7618748762873,-73.9586063953042,2014,1
19,40.7619445540531,-73.96166746788441,2016,2
20,40.761996,-73.95984399999999,2015,8
21,40.7619960831851,-73.9598444845585,2014,15
22,40.7619960831851,-73.9598444845585,2016,6
23,40.762278,-73.966071,2015,4
24,40.762278049078105,-73.9660712618092,2014,3
25,40.762278049078105,-73.9660712618092,2016,5
26,40.762322,-73.958725,2015,7
27,40.762322312062395,-73.9587252415215,2014,7
28,40.762322312062395,-73.9587252415215,2016,7
29,40.762419776572706,-73.9628331701782,2014,7
30,40.762419776572706,-73.9628331701782,2016,4
31,40.76242,-73.96283299999999,2015,8
32,40.762433,-73.962822,2015,6
33,40.7624334967908,-73.96282233302321,2014,7
34,40.7624334967908,-73.96282233302321,2016,7
35,40.76257899141589,-73.9628944486264,2014,1
36,40.7626566053992,-73.9653382704433,2014,7
37,40.7626566053992,-73.9653382704433,2016,9
38,40.762657,-73.965338,2015,8
39,40.7628847496164,-73.95807511863609,2014,8
40,40.7628847496164,-73.95807511863609,2016,4
41,40.762885,-73.958075,2015,4
42,40.763059000000005,-73.962367,2015,13
43,40.7630591503669,-73.96236714056971,2014,10
44,40.7630591503669,-73.96236714056971,2016,14
45,40.763132080166294,-73.96751477504259,2014,1
46,40.7631757128965,-73.9665256485389,2014,13
47,40.7631757128965,-73.9665256485389,2016,5
48,40.763176,-73.966526,2015,4
49,40.763178,-73.96658000000001,2015,5
50,40.763178473359105,-73.96657979525,2014,6
51,40.763178473359105,-73.96657979525,2016,7
52,40.763214000000005,-73.966663,2015,1
53,40.763245805798704,-73.9624067437512,2016,1
54,40.763272,-73.958995,2015,8
55,40.7632720895661,-73.9589953938225,2014,7
56,40.7632720895661,-73.9589953938225,2016,7
57,40.76328226779479,-73.9648794902207,2016,29
58,40.763292,-73.961035,2015,12
59,40.763292010632895,-73.9610349634745,2014,16
60,40.763292010632895,-73.9610349634745,2016,15
61,40.7632959882037,-73.96486865334691,2014,3
62,40.7632959882037,-73.96486865334691,2016,3
63,40.763296000000004,-73.964869,2015,1
64,40.7633185510725,-73.9669118339978,2014,15
65,40.7633185510725,-73.9669118339978,2016,6
66,40.763319,-73.966912,2015,7
67,40.763508,-73.959122,2015,1
68,40.763577691339606,-73.96171345659471,2016,24
69,40.763578,-73.961713,2015,49
70,40.763591,-73.961703,2015,9
71,40.7635914114501,-73.9617026190207,2014,6
72,40.7635914114501,-73.9617026190207,2016,11
73,40.76359830749279,-73.95786890539341,2014,1
74,40.763704669259894,-73.9639443029226,2014,4
75,40.7637199170367,-73.9691967029185,2016,1
76,40.76372,-73.969197,2015,1
77,40.763735,-73.965912,2015,1
78,40.763735460340904,-73.9659116836319,2014,3
79,40.763735460340904,-73.9659116836319,2016,3
80,40.763815,-73.95838499999999,2015,3
81,40.7638153297232,-73.9583849849416,2014,7
82,40.7638153297232,-73.9583849849416,2016,3
83,40.7638248077709,-73.9619840576668,2014,1
84,40.763839000000004,-73.96426600000001,2015,1
85,40.7638392617157,-73.9642655119696,2016,4
86,40.7638928029006,-73.9690738859558,2014,1
87,40.7638928029006,-73.9690738859558,2016,2
88,40.763894,-73.964352,2015,12
89,40.7638941833939,-73.964352120392,2014,10
90,40.7638941833939,-73.964352120392,2016,5
91,40.763931,-73.96907,2015,6
92,40.763931228318796,-73.9690702581996,2014,20
93,40.7639469528455,-73.966413353557,2014,1
94,40.763946999999995,-73.966413,2015,1
95,40.76396435345121,-73.96068440828729,2016,1
96,40.7639945689969,-73.96075297888491,2014,2
97,40.7639945689969,-73.96075297888491,2016,2
98,40.763995,-73.960753,2015,1
99,40.764123660109895,-73.9610128173837,2014,6
100,40.764123660109895,-73.9610128173837,2016,3
101,40.764124,-73.961013,2015,4
102,40.764146799714204,-73.9646768785015,2014,1
103,40.764146799714204,-73.9646768785015,2016,1
104,40.764146999999994,-73.96467700000001,2015,1
