,LAT,LONG,YEAR,SALE PRICE
125,40.765496999999996,-73.96843100000001,2017,6800000
126,40.765509,-73.964074,2017,3150000
127,40.7655223,-73.96403000000001,2017,12615000
128,40.7657679,-73.9519172,2017,4487000
129,40.7657679,-73.9519172,2018,865000
130,40.76578,-73.96330999999999,2017,1426006
131,40.765788,-73.958897,2018,1650000
132,40.76586029999999,-73.9693615,2017,3000000
133,40.76588889999999,-73.9630197,2017,8104500
134,40.76588889999999,-73.9630197,2018,695000
135,40.7659979,-73.952149,2017,3541500
136,40.765997999999996,-73.952149,2017,6045000
137,40.766053799999995,-73.9629079,2017,935000
138,40.766094,-73.951537,2017,2600000
139,40.766117,-73.9527438,2017,490000
140,40.766118,-73.962175,2017,4519000
141,40.766150599999996,-73.9568006,2017,7200000
142,40.766150599999996,-73.9568006,2018,931500
143,40.7661623,-73.9567416,2017,3797500
144,40.7661653,-73.957714,2017,4123400
145,40.7662,-73.952635,2017,1781000
146,40.7662,-73.952635,2018,1574000
147,40.766215,-73.959912,2017,5989000
148,40.766215,-73.959912,2018,875000
149,40.766305100000004,-73.968683,2017,1400000
150,40.7663184,-73.9580934,2017,1338000
151,40.766357,-73.96413100000001,2018,999000
152,40.766378100000004,-73.95809925,2017,4185000
153,40.766382,-73.966959,2017,4945882
154,40.7664148,-73.9639949,2017,5050000
155,40.766626099999996,-73.9528235,2017,26812500
156,40.766647,-73.952844,2017,17261500
157,40.7666491,-73.9587561,2017,4185500
158,40.7666491,-73.9587561,2018,540000
159,40.766691200000004,-73.9687234,2017,5025000
160,40.7666941,-73.9578868,2017,1712000
161,40.766816,-73.959399,2017,4973000
162,40.7668244,-73.9633087,2017,4637000
163,40.766825,-73.959278,2017,10947400
164,40.766825,-73.959278,2018,685000
165,40.766830999999996,-73.965811,2017,707500
166,40.766839000000004,-73.970028,2017,4250000
167,40.7669153,-73.95494140000001,2017,929000
168,40.766971000000005,-73.95496,2017,3940000
169,40.766971500000004,-73.9674377,2017,1340000
170,40.766988500000004,-73.9684409,2017,1895000
171,40.766992,-73.964215,2017,4000000
172,40.766993,-73.966153,2017,1100000
173,40.766998,-73.964529,2018,1300000
174,40.76705845,-73.96166679999999,2018,905000
175,40.76707329999999,-73.95879520000001,2017,5567000
176,40.767183,-73.960269,2017,6205000
177,40.767183,-73.960269,2018,850000
178,40.7672544,-73.9553153,2017,5404000
179,40.767319,-73.9586,2017,4070000
180,40.76732,-73.955269,2017,1490000
181,40.767340000000004,-73.968406,2017,600000
182,40.767356,-73.96425500000001,2017,3325000
183,40.767579,-73.961726,2017,11060000
184,40.767579,-73.961726,2018,5110000
185,40.76767435,-73.96115085,2017,383000
186,40.767676,-73.959489,2018,690000
187,40.7677332,-73.9563296,2017,6411000
188,40.7677332,-73.9563296,2018,2933000
189,40.767751700000005,-73.9653256,2017,125000
190,40.7677653,-73.95955179999999,2017,3738000
191,40.7677653,-73.95955179999999,2018,2300000
192,40.7678001,-73.9629685,2017,20355512
193,40.7678001,-73.9629685,2018,887500
194,40.7678083,-73.9585353,2017,4760000
195,40.7678083,-73.9585353,2018,4220000
196,40.7678227,-73.95549759999999,2017,4822300
197,40.767858000000004,-73.957918,2018,625000
198,40.767871,-73.96673299999999,2017,7250000
199,40.767871,-73.958534,2018,1485000
200,40.767899,-73.967465,2017,3009000
201,40.767901,-73.965849,2017,8725000
202,40.767929200000005,-73.95786429,2017,1470000
203,40.767929200000005,-73.95786429,2018,635000
204,40.767936,-73.960673,2017,474288
205,40.7679592,-73.95701762,2018,1650000
206,40.767975799999995,-73.96090705,2017,310000
207,40.767977,-73.960756,2017,2382500
208,40.768019,-73.962242,2017,2075000
209,40.768042,-73.960883,2017,452000
210,40.7680605,-73.9569554,2017,5450000
211,40.768068799999995,-73.9572439,2017,3295000
212,40.768068799999995,-73.9572439,2018,4900000
213,40.7682671,-73.95972359999999,2017,629000
214,40.768304,-73.95585600000001,2018,3007000
215,40.76830675,-73.95646395,2017,1435000
216,40.768366,-73.966636,2017,1275000
217,40.768451899999995,-73.9569678,2017,2800000
218,40.768461,-73.95993399999999,2017,850000
219,40.7684699,-73.95396070000001,2017,340000
220,40.7684719,-73.9618968,2017,3145000
221,40.7684719,-73.9618968,2018,1850000
222,40.768471999999996,-73.961897,2017,5294000
223,40.7685029,-73.9499885,2017,12286750
224,40.7685029,-73.9499885,2018,5885000
225,40.7685235,-73.9692691,2017,9985000
226,40.7685235,-73.9692691,2018,3100000
227,40.768524,-73.969269,2017,1725000
228,40.768534,-73.957318,2018,1595000
229,40.768654999999995,-73.961813,2017,3000000
230,40.768663399999994,-73.9527438,2017,1130000
231,40.768663399999994,-73.9527438,2018,625000
232,40.768667,-73.963796,2018,4575000
233,40.768714,-73.954335,2017,679000
234,40.76875020000001,-73.9571521,2017,12092000
235,40.76875020000001,-73.9571521,2018,2275000
236,40.768771799999996,-73.9509299,2017,1220000
237,40.768771799999996,-73.9509299,2018,500000
238,40.76879,-73.952555,2017,1835000
239,40.768823,-73.960257,2017,22101368
240,40.768823,-73.956541,2018,520000
241,40.768843,-73.958055,2017,5739000
242,40.76892905,-73.95602748,2017,8449658
243,40.76898,-73.954451,2018,899000
244,40.768995700000005,-73.9518254,2017,1470000
245,40.769013799999996,-73.9615832,2017,1600000
246,40.769013799999996,-73.9615832,2018,2300000
247,40.769048,-73.957453,2017,370000
248,40.769076500000004,-73.9546283,2017,4421000
249,40.769076500000004,-73.9546283,2018,2577000
250,40.769116,-73.95674100000001,2017,490000
251,40.769166999999996,-73.958816,2017,2825000
252,40.769166999999996,-73.958816,2018,5505000
253,40.7691961,-73.9677084,2017,4492867
254,40.769198100000004,-73.96668009999999,2017,5885000
255,40.7692027,-73.9688841,2017,4100000
256,40.7692298,-73.958897,2017,731615
257,40.76924879999999,-73.9557745,2017,3712400
258,40.7692526,-73.95877127,2017,692250
259,40.769401,-73.967993,2017,2295000
260,40.769502200000005,-73.9644761,2017,7150000
261,40.769502200000005,-73.9644761,2018,2000000
262,40.7695057,-73.965469,2017,5300000
263,40.7695057,-73.965469,2018,2010000
264,40.769506,-73.955786,2017,2027250
265,40.76953820000001,-73.95576659999999,2017,2980000
266,40.76953820000001,-73.95576659999999,2018,1320000
267,40.769594,-73.95870500000001,2017,2988500
268,40.769594,-73.95870500000001,2018,2400000
269,40.769625,-73.950078,2017,460323
270,40.769625,-73.950078,2018,295000
271,40.769704100000006,-73.9596547,2017,7060000
272,40.769705,-73.965154,2017,2375000
273,40.769725799999996,-73.95999545,2017,13615000
274,40.76974605,-73.95899201,2017,8662500
275,40.769762,-73.952363,2017,3050000
276,40.7697707,-73.9549916,2017,2325000
277,40.769784,-73.95045999999999,2017,369000
278,40.7698,-73.96119499999999,2017,8953000
279,40.7698148,-73.9550863,2017,6315000
280,40.7698148,-73.9550863,2018,3235000
281,40.769846,-73.95716999999999,2017,11157500
282,40.769846,-73.95716999999999,2018,949000
283,40.769859999999994,-73.9593359,2017,4374999
284,40.769859999999994,-73.9593359,2018,3909000
285,40.76987379999999,-73.9571388,2017,1250000
286,40.76987379999999,-73.95229405,2017,780000
287,40.769954,-73.962884,2017,3650000
288,40.769968,-73.95926800000001,2017,359970
289,40.770004,-73.960803,2017,3840000
290,40.770011,-73.96162,2018,2650000
291,40.7700131,-73.9629538,2017,1896000
292,40.770042,-73.95354,2017,800000
293,40.770042,-73.95354,2018,815000
294,40.770057,-73.9587085,2017,1761425
295,40.770059100000005,-73.9500804,2017,2062292
296,40.770077,-73.958667,2017,3074875
297,40.770096,-73.96184699999999,2018,3750000
298,40.770097,-73.949741,2017,1020000
299,40.7701,-73.959066,2018,916425
300,40.77019105,-73.95901794,2017,471510
301,40.7701914,-73.9590118,2017,839500
302,40.770191600000004,-73.96824129999999,2017,3245000
303,40.7702167,-73.9551702,2017,4824000
304,40.7702167,-73.9551702,2018,420000
305,40.77022,-73.961093,2017,8782518
306,40.770223200000004,-73.95394163,2017,4315500
307,40.770224,-73.967484,2017,4800000
308,40.7702466,-73.9607567,2017,11566250
309,40.7702466,-73.9607567,2018,1810000
310,40.770255999999996,-73.950113,2017,385000
311,40.770259,-73.95229221,2018,425000
312,40.770283,-73.96146999999999,2017,4350000
313,40.770283,-73.96146999999999,2018,1425000
314,40.770325,-73.957633,2017,10696000
