,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LAT,LONG,LAT_LONG
12640,12644,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1469,28, ,D4,"444 EAST 75TH ST, 2G", ,10021,0,0,0, -  , -  ,1963,2,D4,459000,2017-02-27 00:00:00,40.76879,-73.952555,"(40.76879, -73.952555)"
12647,12651,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1471,45, ,D4,"400 EAST 77TH STREET, 7F", ,10075,0,0,0, -  , -  ,1964,2,D4,660000,2017-02-17 00:00:00,40.770703,-73.953247,"(40.770703, -73.953247)"
12653,12657,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1472,14, ,D4,"435 EAST 77TH   STREET, 2-D", ,10075,0,0,0, -  , -  ,1962,2,D4,410000,2017-02-01 00:00:00,40.770577,-73.952292,"(40.770577, -73.952292)"
12665,12669,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1473,18, ,D4,"440 EAST 79TH STREET, 2N", ,10075,0,0,0, -  , -  ,1956,2,D4, -  ,2017-02-22 00:00:00,40.77167,-73.951506,"(40.77167, -73.951506)"
12680,12684,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1483,38, ,D4,"520 EAST 72ND STREET, 6T", ,10021,0,0,0, -  , -  ,1964,2,D4,675000,2017-01-18 00:00:00,40.7662,-73.952635,"(40.7662, -73.952635)"
12681,12685,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1483,38, ,D4,"520 EAST 72ND STREET, 2H", ,10021,0,0,0, -  , -  ,1964,2,D4,605000,2017-01-25 00:00:00,40.7662,-73.952635,"(40.7662, -73.952635)"
12687,12691,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1487,39, ,D4,"520 EAST 76TH STREET, 5G", ,10021,0,0,0, -  , -  ,1964,2,D4,600000,2017-01-24 00:00:00,40.768878,-73.950839,"(40.768878, -73.950839)"
12688,12692,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1487,39, ,D4,"520 EAST 76TH STREET, 3H", ,10021,0,0,0, -  , -  ,1964,2,D4,590000,2017-02-03 00:00:00,40.768878,-73.950839,"(40.768878, -73.950839)"
12699,12703,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1375,1047, ,R4,40 EAST 61ST   STREET,12C,10065,1,0,1, -  , -  ,1927,2,R4, -  ,2017-02-27 00:00:00,40.764396,-73.969718,"(40.764396, -73.969718)"
12700,12704,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1375,1047, ,R4,40 EAST 61ST   STREET,12C,10065,1,0,1, -  , -  ,1927,2,R4, -  ,2017-01-19 00:00:00,40.764396,-73.969718,"(40.764396, -73.969718)"
12701,12705,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1375,1217, ,R4,530 PARK AVENUE,3J,10065,1,0,1, -  , -  ,1941,2,R4,1323725,2017-01-05 00:00:00,40.764014,-73.969306,"(40.764014, -73.969306)"
12704,12708,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1375,1279, ,R4,530 PARK AVENUE,15A,10065,1,0,1, -  , -  ,1941,2,R4,6015000,2017-01-20 00:00:00,40.764014,-73.969306,"(40.764014, -73.969306)"
12705,12709,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1375,1281, ,R4,530 PARK AVENUE,15D,10065,1,0,1, -  , -  ,1941,2,R4,5200000,2017-01-12 00:00:00,40.764014,-73.969306,"(40.764014, -73.969306)"
12715,12719,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1384,1139, ,R4,15 EAST 69TH   STREET,10D,10021,1,0,1, -  , -  ,1926,2,R4,5200000,2017-01-11 00:00:00,40.770024,-73.967009,"(40.770024, -73.967009)"
12724,12728,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1392,1115, ,R4,40 EAST 78TH STREET,PHA,10075,1,0,1, -  , -  ,1958,2,R4,3450000,2017-02-28 00:00:00,40.775454,-73.96245,"(40.775454, -73.96245)"
12746,12750,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1395,1255, ,R4,525 PARK AVENUE,3C,10065,1,0,1, -  , -  ,0,2,R4, -  ,2017-02-10 00:00:00,40.763874,-73.968801,"(40.763874, -73.968801)"
12771,12775,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1398,1083, ,R4,188 EAST 64TH   STREET,903,10065,1,0,1, -  , -  ,1987,2,R4,1200000,2017-01-17 00:00:00,40.764673,-73.964597,"(40.764673, -73.964597)"
12774,12778,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1398,1130, ,R4,188 EAST 64TH STREET,1904,10065,1,0,1, -  , -  ,1987,2,R4, -  ,2017-01-23 00:00:00,40.764673,-73.964597,"(40.764673, -73.964597)"
12783,12787,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1400,1086, ,R4,181 EAST 65TH STREET,28B,10065,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-20 00:00:00,40.765509,-73.964074,"(40.765509, -73.964074)"
12797,12801,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1406,1359, ,R4,737 PARK AVENUE,16A,10021,1,0,1, -  , -  ,1940,2,R4,10020866,2017-01-25 00:00:00,40.770453,-73.963988,"(40.770453, -73.963988)"
12801,12805,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1407,1038, ,R4,157 EAST 72ND STREET,4A,10021,1,0,1, -  , -  ,1923,2,R4,770000,2017-02-08 00:00:00,40.77022,-73.961093,"(40.77022, -73.961093)"
12807,12811,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1409,1010, ,R4,157 EAST 74TH STREET,6A,10021,1,0,1, -  , -  ,1986,2,R4,6000000,2017-02-02 00:00:00,40.771635,-73.960694,"(40.771635, -73.960694)"
12811,12815,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1410,1248, ,R4,188 EAST 76TH   STREET,16B,10021,1,0,1, -  , -  ,0,2,R4,3150000,2017-01-18 00:00:00,40.772391,-73.959135,"(40.772391, -73.959135)"
12812,12816,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1410,1252, ,R4,188 EAST 76TH   STREET,18B,10021,1,0,1, -  , -  ,0,2,R4,3000000,2017-02-24 00:00:00,40.772391,-73.959135,"(40.772391, -73.959135)"
12828,12832,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1412,1166, ,R4,188 EAST 78TH   STREET,28A,10075,1,0,1, -  , -  ,0,2,R4,4800000,2017-01-03 00:00:00,40.773605,-73.958064,"(40.773605, -73.958064)"
12836,12840,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1413,1016, ,R4,124 EAST 79TH   STREET,5D,10075,1,0,1, -  , -  ,1985,2,R4, -  ,2017-01-16 00:00:00,40.77508,-73.959562,"(40.77508, -73.959562)"
12839,12843,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1413,1053, ,R4,124 EAST 79TH   STREET,15A,10075,1,0,1, -  , -  ,1985,2,R4,2910000,2017-02-10 00:00:00,40.77508,-73.959562,"(40.77508, -73.959562)"
12852,12856,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1415,1059, ,R4,200 EAST 61ST STREET,14F,10065,1,0,1, -  , -  ,1986,2,R4,1100000,2017-02-02 00:00:00,40.762619,-73.965479,"(40.762619, -73.965479)"
12865,12869,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1416,1040, ,R4,200 EAST 62ND   STREET,10D,10065,1,0,1, -  , -  ,1967,2,R4,3900000,2017-02-15 00:00:00,40.76308,-73.964811,"(40.76308, -73.964811)"
12868,12872,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1416,1045, ,R4,200 EAST 62ND   STREET,11D,10065,1,0,1, -  , -  ,1967,2,R4,4095000,2017-02-13 00:00:00,40.76308,-73.964811,"(40.76308, -73.964811)"
12870,12874,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1416,1051, ,R4,200 EAST 62ND   STREET,14A,10065,1,0,1, -  , -  ,1967,2,R4,3100000,2017-02-10 00:00:00,40.76308,-73.964811,"(40.76308, -73.964811)"
12875,12879,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1416,1088, ,R4,200 EAST 62ND   STREET,22D,10065,1,0,1, -  , -  ,1967,2,R4,3225000,2017-02-13 00:00:00,40.76308,-73.964811,"(40.76308, -73.964811)"
12876,12880,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1416,1105, ,R4,200 EAST 62ND   STREET,27B,10065,1,0,1, -  , -  ,1967,2,R4,3645000,2017-02-13 00:00:00,40.76308,-73.964811,"(40.76308, -73.964811)"
12884,12888,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1419,1385, ,R4,200 EAST 65TH   STREET,27E,10065,1,0,1, -  , -  ,1987,2,R4,2700000,2017-02-08 00:00:00,40.765121,-73.963671,"(40.765121, -73.963671)"
12888,12892,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1419,1582, ,R4,220 EAST 65TH   STREET,9D,10065,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00,40.764479,-73.962402,"(40.764479, -73.962402)"
12891,12895,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1419,1665, ,R4,220 EAST 65TH   STREET,7H,10065,1,0,1, -  , -  ,0,2,R4, -  ,2017-02-23 00:00:00,40.764479,-73.962402,"(40.764479, -73.962402)"
12896,12900,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1088, ,R4,200 EAST 66TH   STREET,A1005,10065,1,0,1, -  , -  ,1951,2,R4, -  ,2017-02-02 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12897,12901,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1092, ,R4,200 EAST 66TH STREET,A1505,10065,1,0,1, -  , -  ,1951,2,R4,1216578,2017-01-31 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12902,12906,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1125, ,R4,200 EAST 66TH STREET,A1607,10065,1,0,1, -  , -  ,1951,2,R4,1444785,2017-01-31 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12905,12909,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1168, ,R4,200 EAST 66TH   STREET,B0503,10065,1,0,1, -  , -  ,1951,2,R4, -  ,2017-01-13 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12907,12911,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1253, ,R4,200 EAST 66TH STREET,C1701,10065,1,0,1, -  , -  ,1951,2,R4,2682578,2017-02-17 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12912,12916,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1363, ,R4,200 EAST 66TH STREET,D0102,10065,1,0,1, -  , -  ,1951,2,R4,1221900,2017-02-27 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12918,12922,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1447, ,R4,200 EAST 66TH STREET,D1006,10065,1,0,1, -  , -  ,1951,2,R4,1226281,2017-02-27 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12919,12923,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1457, ,R4,200 EAST 66TH STREET,E0201,10065,1,0,1, -  , -  ,1951,2,R4,1695000,2017-01-05 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12923,12927,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1515, ,R4,200 EAST 66TH STREET,E0304,10065,1,0,1, -  , -  ,1951,2,R4,878138,2017-01-20 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12924,12928,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1420,1521, ,R4,200 EAST 66TH STREET,E0904,10065,1,0,1, -  , -  ,1951,2,R4,910000,2017-01-09 00:00:00,40.765083,-73.961993,"(40.765083, -73.961993)"
12934,12938,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1423,1190, ,R4,200 EAST 69TH   STREET,8E,10021,1,0,1, -  , -  ,1991,2,R4,630000,2017-01-31 00:00:00,40.767579,-73.961726,"(40.767579, -73.961726)"
12946,12950,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1423,1408, ,R4,205 EAST 68TH STREET,T6B,10065,1,0,1, -  , -  ,1991,2,R4,675000,2017-02-03 00:00:00,40.767174,-73.961737,"(40.767174, -73.961737)"
12951,12955,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1429,1155, ,R4,255 EAST 74TH STREET,19A,10021,1,0,1, -  , -  ,2007,2,R4,4800000,2017-01-06 00:00:00,40.770325,-73.957633,"(40.770325, -73.957633)"
12953,12957,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1433,1117, ,R4,200 EAST 79TH STREET,5C,10075,1,0,1, -  , -  ,2011,2,R4,4500000,2017-01-30 00:00:00,40.774039,-73.957137,"(40.774039, -73.957137)"
12956,12960,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1436,1040, ,R4,300 EAST 62ND   STREET,1004,10065,1,0,1, -  , -  ,1985,2,R4,980000,2017-01-05 00:00:00,40.762244,-73.962795,"(40.762244, -73.962795)"
12957,12961,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1436,1074, ,R4,300 EAST 62ND   STREET,1803,10065,1,0,1, -  , -  ,1985,2,R4, -  ,2017-02-02 00:00:00,40.762244,-73.962795,"(40.762244, -73.962795)"
12958,12962,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1436,1075, ,R4,300 EAST 62ND   STREET,1804,10065,1,0,1, -  , -  ,1985,2,R4,1462500,2017-02-02 00:00:00,40.762244,-73.962795,"(40.762244, -73.962795)"
12959,12963,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1436,1076, ,R4,300 EAST 62ND STREET,1805,10065,1,0,1, -  , -  ,1985,2,R4, -  ,2017-02-15 00:00:00,40.762244,-73.962795,"(40.762244, -73.962795)"
12968,12972,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1436,1252, ,R4,350 EAST 62ND   STREET,2K,10065,1,0,1, -  , -  ,1916,2,R4,540000,2017-02-28 00:00:00,40.761649,-73.961245,"(40.761649, -73.961245)"
12970,12974,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1437,1002, ,R4,337 EAST 62ND   STREET,1B,10065,1,0,1, -  , -  ,2013,2,R4,2851100,2017-01-17 00:00:00,40.762051,-73.961689,"(40.762051, -73.961689)"
12971,12975,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1437,1022, ,R4,337 EAST 62ND   STREET,7B,10065,1,0,1, -  , -  ,2013,2,R4,2363876,2017-02-02 00:00:00,40.762051,-73.961689,"(40.762051, -73.961689)"
12981,12985,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1438,1513, ,R4,340 EAST 64TH   STREET,15N,10065,1,0,1, -  , -  ,0,2,R4,1900000,2017-02-23 00:00:00,40.762956,-73.960487,"(40.762956, -73.960487)"
12987,12991,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1438,3626, ,R4,300 EAST 64TH   STREET,8C,10065,1,0,1, -  , -  ,1996,2,R4,1035000,2017-02-01 00:00:00,40.763503,-73.961762,"(40.763503, -73.961762)"
12993,12997,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1438,3660, ,R4,300 EAST 64TH   STREET,17D,10065,1,0,1, -  , -  ,1996,2,R4,1295677,2017-01-10 00:00:00,40.763503,-73.961762,"(40.763503, -73.961762)"
12997,13001,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1438,3670, ,R4,300 EAST 64TH   STREET,20B,10065,1,0,1, -  , -  ,1996,2,R4,1152902,2017-01-25 00:00:00,40.763503,-73.961762,"(40.763503, -73.961762)"
13006,13010,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1438,3704, ,R4,300 EAST 64TH   STREET,PHC,10065,1,0,1, -  , -  ,1996,2,R4,2175000,2017-01-05 00:00:00,40.763503,-73.961762,"(40.763503, -73.961762)"
13007,13011,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1439,1026, ,R4,304 EAST 65TH   STREET,18A,10065,1,0,1, -  , -  ,1987,2,R4, -  ,2017-01-27 00:00:00,40.764088,-73.961545,"(40.764088, -73.961545)"
13009,13013,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1439,1044, ,R4,304 EAST 65TH STREET,36A,10065,1,0,1, -  , -  ,1987,2,R4,1175000,2017-02-27 00:00:00,40.764088,-73.961545,"(40.764088, -73.961545)"
13010,13014,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1439,1057, ,R4,304 EAST 65TH   STREET,11B,10065,1,0,1, -  , -  ,1987,2,R4, -  ,2017-02-14 00:00:00,40.764088,-73.961545,"(40.764088, -73.961545)"
13011,13015,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1439,1063, ,R4,304 EAST 65TH   STREET,18B,10065,1,0,1, -  , -  ,1987,2,R4, -  ,2017-01-27 00:00:00,40.764088,-73.961545,"(40.764088, -73.961545)"
13013,13017,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1439,1135, ,R4,304 EAST 65TH   STREET,35D,10065,1,0,1, -  , -  ,1987,2,R4,1195000,2017-02-13 00:00:00,40.764088,-73.961545,"(40.764088, -73.961545)"
13022,13026,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1446,1176, ,R4,308 EAST 72ND   STREET,20C,10021,1,0,1, -  , -  ,0,2,R4,1,2017-02-13 00:00:00,40.768485,-73.958014,"(40.768485, -73.958014)"
13030,13034,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1449,1058, ,R4,330 EAST 75TH   STREET,7G,10021,1,0,1, -  , -  ,0,2,R4,1350000,2017-02-23 00:00:00,40.769815,-73.955086,"(40.769815, -73.955086)"
13036,13040,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1449,1119, ,R4,330 EAST 75TH   STREET,14H,10021,1,0,1, -  , -  ,0,2,R4,830000,2017-01-11 00:00:00,40.769815,-73.955086,"(40.769815, -73.955086)"
13040,13044,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1451,1038, ,R4,300 EAST 77TH   STREET,11A,10075,1,0,1, -  , -  ,0,2,R4,7215000,2017-01-11 00:00:00,40.771823,-73.955798,"(40.771823, -73.955798)"
13049,13053,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1451,1093, ,R4,300 EAST 77TH   STREET,11B,10075,1,0,1, -  , -  ,2000,2,R4, -  ,2017-01-11 00:00:00,40.771823,-73.955798,"(40.771823, -73.955798)"
13050,13054,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1452,1002, ,R4,303 EAST 77TH STREET,2A,10075,1,0,1, -  , -  ,2008,2,R4,1700000,2017-02-09 00:00:00,40.771947,-73.955581,"(40.771947, -73.955581)"
13061,13065,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1458,1106, ,R4,1175 YORK AVENUE,1D,10065,1,0,1, -  , -  ,1958,2,R4,465000,2017-02-17 00:00:00,40.761549,-73.957849,"(40.761549, -73.957849)"
13067,13071,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1460,1151, ,R4,404 EAST 66TH   STREET,6M,10065,1,0,1, -  , -  ,1959,2,R4,510000,2017-01-11 00:00:00,40.763666,-73.958334,"(40.763666, -73.958334)"
13068,13072,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1460,1151, ,R4,404 EAST 66TH   STREET,6M,10065,1,0,1, -  , -  ,1959,2,R4, -  ,2017-01-11 00:00:00,40.763666,-73.958334,"(40.763666, -73.958334)"
13072,13076,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1461,1046, ,R4,400 EAST 67TH STREET,8F,10065,1,0,1, -  , -  ,2006,2,R4,2200000,2017-02-08 00:00:00,40.764285,-73.958313,"(40.764285, -73.958313)"
13085,13089,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1464,1174, ,R4,400 EAST 70TH   STREET,2902,10021,1,0,1, -  , -  ,1984,2,R4, -  ,2017-01-23 00:00:00,40.766162,-73.956742,"(40.766162, -73.956742)"
13090,13094,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1464,1208, ,R4,400 EAST 70TH STREET,3901,10021,1,0,1, -  , -  ,1984,2,R4,2695000,2017-01-04 00:00:00,40.766162,-73.956742,"(40.766162, -73.956742)"
13094,13098,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1466,1135, ,R4,422 EAST 72ND STREET,25D,10021,1,0,1, -  , -  ,1990,2,R4, -  ,2017-01-31 00:00:00,40.766971,-73.95496,"(40.766971, -73.95496)"
13095,13099,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1466,1157, ,R4,422 EAST 72ND   STREET,30A,10021,1,0,1, -  , -  ,1990,2,R4,2400000,2017-01-04 00:00:00,40.766971,-73.95496,"(40.766971, -73.95496)"
13099,13103,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1466,1196, ,R4,422 EAST 72ND   STREET,38B,10021,1,0,1, -  , -  ,1990,2,R4,2250000,2017-02-02 00:00:00,40.766971,-73.95496,"(40.766971, -73.95496)"
13101,13105,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1469,1101, ,R4,433 EAST 74TH   STREET,1A,10021,1,0,1, -  , -  ,2007,2,R4,1280000,2017-01-20 00:00:00,40.768626,-73.9536,"(40.768626, -73.9536)"
13103,13107,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1470,1008, ,R4,404 EAST 76TH STREET,2H,10021,1,0,1, -  , -  ,0,2,R4,925000,2017-01-26 00:00:00,40.770042,-73.95354,"(40.770042, -73.95354)"
13125,13129,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1473,1323, ,R4,460 EAST 79TH   STREET,3G,10075,1,0,1, -  , -  ,1960,2,R4,1013158,2017-02-06 00:00:00,40.771377,-73.950817,"(40.771377, -73.950817)"
13126,13130,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1473,1324, ,R4,460 E 79TH ST,4A,10075,1,0,1, -  , -  ,1960,2,R4,1530000,2017-01-05 00:00:00,40.771377,-73.950817,"(40.771377, -73.950817)"
13170,13174,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1487,1213, ,R4,530 EAST 76TH STREET,8B,10021,1,0,1, -  , -  ,1986,2,R4,1240000,2017-02-01 00:00:00,40.768507,-73.94992,"(40.768507, -73.94992)"
13172,13176,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1487,1254, ,R4,530 EAST 76TH   STREET,12E,10021,1,0,1, -  , -  ,1986,2,R4,955000,2017-01-20 00:00:00,40.768507,-73.94992,"(40.768507, -73.94992)"
13191,13195,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1382,1003, ,R9,"20 EAST 68TH   STREET, 3B", ,10065,0,0,0, -  , -  ,1955,2,R9,1300000,2017-02-02 00:00:00,40.769246,-73.967623,"(40.769246, -73.967623)"
13196,13200,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1395,1002, ,R9,"166 EAST 61ST AVENUE, 11K", ,10065,0,0,0, -  , -  ,1963,2,R9,352872,2017-01-19 00:00:00,40.76294,-73.966292,"(40.76294, -73.966292)"
13211,13215,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1398,1303, ,R9,"139 EAST 63RD STREET, 4C", ,10065,0,0,0, -  , -  ,1961,2,R9, -  ,2017-01-27 00:00:00,40.764705,-73.966005,"(40.764705, -73.966005)"
13212,13216,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1398,1303, ,R9,"139 EAST 63RD STREET, 7A", ,10065,0,0,0, -  , -  ,1961,2,R9,1561000,2017-01-26 00:00:00,40.764705,-73.966005,"(40.764705, -73.966005)"
13213,13217,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1398,1303, ,R9,"139 EAST 63RD STREET, 4C", ,10065,0,0,0, -  , -  ,1961,2,R9, -  ,2017-01-27 00:00:00,40.764705,-73.966005,"(40.764705, -73.966005)"
13216,13220,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1402,1002, ,R9,"1160 THIRD AVENUE, 4G", ,10065,0,0,0, -  , -  ,1965,2,R9,390000,2017-02-08 00:00:00,40.764584,-73.963013,"(40.764584, -73.963013)"
