,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LAT,LONG,LAT_LONG
12259,12263,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,1, ,D4,"201 EAST 66TH STREET, 9P", ,10065,0,0,0, -  , -  ,1961,2,D4,795000,2017-01-05 00:00:00,40.765889,-73.96302,"(40.765889, -73.96302)"
12260,12264,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,1, ,D4,"201 EAST 66TH STREET, 14A", ,10065,0,0,0, -  , -  ,1961,2,D4,1200000,2017-01-25 00:00:00,40.765889,-73.96302,"(40.765889, -73.96302)"
12261,12265,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,1, ,D4,"201 EAST 66TH STREET, 14M", ,10065,0,0,0, -  , -  ,1961,2,D4,1625000,2017-01-25 00:00:00,40.765889,-73.96302,"(40.765889, -73.96302)"
12262,12266,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,1, ,D4,"201 EAST 66TH STREET, 12J", ,10065,0,0,0, -  , -  ,1961,2,D4,450000,2017-02-07 00:00:00,40.765889,-73.96302,"(40.765889, -73.96302)"
12263,12267,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,1, ,D4,"201 EAST 66TH STREET, 7B", ,10065,0,0,0, -  , -  ,1961,2,D4,826800,2017-02-17 00:00:00,40.765889,-73.96302,"(40.765889, -73.96302)"
12272,12276,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,37, ,D4,"220 EAST 67TH, 8E", ,10065,0,0,0, -  , -  ,1964,2,D4,650000,2017-01-24 00:00:00,40.766118,-73.962175,"(40.766118, -73.962175)"
12281,12285,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1425,29, ,D4,"230 EAST 71 STREET, 6E", ,10021,0,0,0, -  , -  ,1929,2,D4,595000,2017-01-30 00:00:00,40.768271,-73.959477,"(40.768271, -73.959477)"
12300,12304,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,30, ,D4,"230 EAST 73RD STREET, 5E", ,10021,0,0,0, -  , -  ,1937,2,D4,876000,2017-01-05 00:00:00,40.769699,-73.958635,"(40.769699, -73.958635)"
12304,12308,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,34, ,D4,"220 EAST 73RD STREET, 1E", ,10021,0,0,0, -  , -  ,1932,2,D4,399000,2017-02-15 00:00:00,40.769833,-73.95895,"(40.769833, -73.95895)"
12305,12309,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,34, ,D4,"220 EAST 73RD STREET, 4A", ,10021,0,0,0, -  , -  ,1932,2,D4,385000,2017-02-23 00:00:00,40.769833,-73.95895,"(40.769833, -73.95895)"
