,LAT,LONG,YEAR,count
0,40.58963614,-73.95810071,2018,1
1,40.58976726,-73.95689738,2017,3
2,40.58976726,-73.95689738,2018,1
3,40.59027308,-73.95228833,2017,2
4,40.5903223,-73.95335274,2017,4
5,40.59070620000001,-73.94834214,2017,1
6,40.59074733,-73.94947422,2017,1
7,40.59074733,-73.94947422,2018,1
8,40.6473691,-73.91732474,2017,6
9,40.6494188,-73.92014449999999,2017,2
10,40.7604291,-73.9587363,2017,1
11,40.7604291,-73.9587363,2018,2
12,40.76058,-73.958727,2017,3
13,40.76058,-73.958727,2018,1
14,40.761399,-73.96002299999999,2017,1
15,40.7614157,-73.95997609999999,2017,1
16,40.761565000000004,-73.95859,2017,3
17,40.761648799999996,-73.96124509999999,2017,2
18,40.761648799999996,-73.96124509999999,2018,1
19,40.7616739,-73.9577816,2017,11
20,40.7617137,-73.95872266,2017,6
21,40.7617185,-73.95871329999999,2017,1
22,40.761831,-73.963099,2017,4
23,40.761831,-73.963099,2018,1
24,40.76187815,-73.96306765,2017,5
25,40.76194,-73.959428,2017,2
26,40.761964299999995,-73.9593562,2017,6
27,40.761964299999995,-73.9593562,2018,1
28,40.761988,-73.9584378,2017,8
29,40.761988,-73.9584378,2018,4
30,40.762015999999996,-73.9612609,2017,1
31,40.7621398,-73.96155544,2017,1
32,40.7622042,-73.96278690000001,2017,2
33,40.7622436,-73.9627946,2017,1
34,40.762244,-73.962795,2017,1
35,40.762439,-73.962597,2018,1
36,40.762439,-73.9625965,2017,1
37,40.7625094,-73.9663128,2017,1
38,40.762619,-73.965479,2017,1
39,40.762619,-73.965479,2018,1
40,40.762786,-73.95756899999999,2017,3
41,40.762786,-73.95756899999999,2018,2
42,40.7628476,-73.95742759999999,2017,1
43,40.76294,-73.96629200000001,2017,13
44,40.76294,-73.96629200000001,2018,1
45,40.762955600000005,-73.9604866,2017,1
46,40.762955600000005,-73.9604866,2018,1
47,40.76296195,-73.96504414,2017,9
48,40.7629691,-73.9603299,2017,4
49,40.762991,-73.965802,2017,1
50,40.763059000000005,-73.962127,2017,12
51,40.763059000000005,-73.962127,2018,4
52,40.76308,-73.964811,2017,9
53,40.763094200000005,-73.9649721,2017,4
54,40.763094200000005,-73.9649721,2018,5
55,40.7631407,-73.9622031,2018,1
56,40.763154,-73.965826,2017,6
57,40.763154,-73.965826,2018,1
58,40.763193799999996,-73.9669656,2017,1
59,40.763277,-73.96704100000001,2017,5
60,40.763284999999996,-73.966613,2017,1
61,40.763321000000005,-73.958862,2017,3
62,40.763321000000005,-73.958862,2018,1
63,40.763408500000004,-73.9647959,2017,5
64,40.7635026,-73.9617615,2017,15
65,40.763503,-73.961762,2017,1
66,40.7635955,-73.95834599999999,2017,1
67,40.7636176,-73.96423075,2017,1
68,40.763626,-73.968986,2017,1
69,40.7636632,-73.9655082,2017,3
70,40.7636632,-73.9655082,2018,1
71,40.763666,-73.958334,2017,3
72,40.763666,-73.958334,2018,1
73,40.763723,-73.96176,2017,1
74,40.7637569,-73.9616521,2017,8
75,40.7637569,-73.9616521,2018,2
76,40.763874,-73.968801,2017,2
77,40.7639362,-73.9641732,2017,6
78,40.7640214,-73.9621214,2017,1
79,40.764086600000006,-73.9651703,2017,4
80,40.7641367,-73.96145,2017,1
81,40.7642023,-73.96067473,2017,3
82,40.7642023,-73.96067473,2018,1
83,40.764228,-73.965439,2017,9
84,40.764249,-73.96945809999998,2017,1
85,40.764249,-73.96945809999998,2018,1
86,40.764259700000004,-73.96850699999999,2017,2
87,40.764374100000005,-73.9580158,2017,4
88,40.764374100000005,-73.9580158,2018,2
89,40.764396000000005,-73.969718,2017,1
90,40.7644076,-73.9591725,2017,4
91,40.7644076,-73.9591725,2018,1
92,40.764413,-73.961978,2017,1
93,40.76443565,-73.95932584,2017,1
94,40.76443565,-73.95932584,2018,1
95,40.7644486,-73.9662417,2018,1
96,40.764478999999994,-73.9624015,2017,9
97,40.764478999999994,-73.9624015,2018,1
98,40.764520000000005,-73.966111,2017,1
99,40.764520000000005,-73.966111,2018,1
100,40.764584,-73.963013,2017,14
101,40.764584,-73.963013,2018,1
102,40.76465820000001,-73.96236009999998,2017,1
103,40.76465820000001,-73.96236009999998,2018,1
104,40.764672499999996,-73.9645967,2017,2
105,40.764672999999995,-73.964597,2017,2
106,40.764672999999995,-73.964597,2018,2
107,40.764734999999995,-73.966675,2017,1
108,40.764835999999995,-73.95907700000001,2018,1
109,40.7649552,-73.9634835,2017,2
110,40.764987,-73.967979,2017,1
111,40.765021999999995,-73.9676308,2017,12
112,40.765033,-73.966823,2017,4
113,40.765062,-73.96810699999999,2017,1
114,40.7650831,-73.9619934,2017,19
115,40.7650831,-73.9619934,2018,2
116,40.76510379999999,-73.9710055,2017,1
117,40.7651537,-73.96998609999999,2017,1
118,40.765293,-73.96417,2017,9
119,40.765293,-73.96417,2018,2
120,40.765394,-73.966245,2017,2
121,40.765452,-73.95810300000001,2017,2
122,40.7654584,-73.9580679,2017,1
123,40.765496399999996,-73.9631442,2017,12
124,40.765496399999996,-73.9631442,2018,1
125,40.765496999999996,-73.96843100000001,2017,2
126,40.765509,-73.964074,2017,1
127,40.7655223,-73.96403000000001,2017,4
128,40.7657679,-73.9519172,2017,5
129,40.7657679,-73.9519172,2018,1
130,40.76578,-73.96330999999999,2017,1
131,40.765788,-73.958897,2018,1
132,40.76586029999999,-73.9693615,2017,1
133,40.76588889999999,-73.9630197,2017,9
134,40.76588889999999,-73.9630197,2018,1
135,40.7659979,-73.952149,2017,4
136,40.765997999999996,-73.952149,2017,3
137,40.766053799999995,-73.9629079,2017,1
138,40.766094,-73.951537,2017,1
139,40.766117,-73.9527438,2017,1
140,40.766118,-73.962175,2017,6
141,40.766150599999996,-73.9568006,2017,6
142,40.766150599999996,-73.9568006,2018,1
143,40.7661623,-73.9567416,2017,4
144,40.7661653,-73.957714,2017,5
145,40.7662,-73.952635,2017,3
146,40.7662,-73.952635,2018,3
147,40.766215,-73.959912,2017,7
148,40.766215,-73.959912,2018,1
149,40.766305100000004,-73.968683,2017,1
150,40.7663184,-73.9580934,2017,1
151,40.766357,-73.96413100000001,2018,1
152,40.766378100000004,-73.95809925,2017,3
153,40.766382,-73.966959,2017,3
154,40.7664148,-73.9639949,2017,2
155,40.766626099999996,-73.9528235,2017,16
156,40.766647,-73.952844,2017,10
157,40.7666491,-73.9587561,2017,5
158,40.7666491,-73.9587561,2018,1
159,40.766691200000004,-73.9687234,2017,2
160,40.7666941,-73.9578868,2017,3
161,40.766816,-73.959399,2017,6
162,40.7668244,-73.9633087,2017,6
163,40.766825,-73.959278,2017,9
164,40.766825,-73.959278,2018,1
165,40.766830999999996,-73.965811,2017,1
166,40.766839000000004,-73.970028,2017,2
167,40.7669153,-73.95494140000001,2017,1
168,40.766971000000005,-73.95496,2017,3
169,40.766971500000004,-73.9674377,2017,1
170,40.766988500000004,-73.9684409,2017,1
171,40.766992,-73.964215,2017,1
172,40.766993,-73.966153,2017,1
173,40.766998,-73.964529,2018,1
174,40.76705845,-73.96166679999999,2018,1
175,40.76707329999999,-73.95879520000001,2017,8
176,40.767183,-73.960269,2017,9
177,40.767183,-73.960269,2018,1
178,40.7672544,-73.9553153,2017,5
179,40.767319,-73.9586,2017,4
180,40.76732,-73.955269,2017,2
181,40.767340000000004,-73.968406,2017,1
182,40.767356,-73.96425500000001,2017,1
183,40.767579,-73.961726,2017,7
184,40.767579,-73.961726,2018,2
185,40.76767435,-73.96115085,2017,1
186,40.767676,-73.959489,2018,1
187,40.7677332,-73.9563296,2017,7
188,40.7677332,-73.9563296,2018,2
189,40.767751700000005,-73.9653256,2017,1
190,40.7677653,-73.95955179999999,2017,4
191,40.7677653,-73.95955179999999,2018,1
192,40.7678001,-73.9629685,2017,11
193,40.7678001,-73.9629685,2018,1
194,40.7678083,-73.9585353,2017,6
195,40.7678083,-73.9585353,2018,5
196,40.7678227,-73.95549759999999,2017,4
197,40.767858000000004,-73.957918,2018,1
198,40.767871,-73.96673299999999,2017,3
199,40.767871,-73.958534,2018,1
200,40.767899,-73.967465,2017,1
201,40.767901,-73.965849,2017,3
