,lat,long,year,price
0,40.760697,-73.958759,2015,6479000
1,40.7606974359683,-73.95875873607659,2014,8634031
2,40.7606974359683,-73.95875873607659,2016,5561000
3,40.761236,-73.961935,2015,250000
4,40.7612364989828,-73.96193499821541,2014,230000
5,40.7612364989828,-73.96193499821541,2016,272000
6,40.761361,-73.95778,2015,18460210
7,40.7613613094154,-73.95778007602091,2014,10123196
8,40.7613613094154,-73.95778007602091,2016,7548972
9,40.761381,-73.960332,2015,1815000
10,40.761381429641105,-73.9603321748759,2014,2635800
11,40.761381429641105,-73.9603321748759,2016,1570000
12,40.7615785255631,-73.9588339960377,2014,5532160
13,40.7615785255631,-73.9588339960377,2016,9028000
14,40.761579,-73.958834,2015,11896416
15,40.761848,-73.961483,2015,5407500
16,40.761848426656606,-73.9614834233447,2014,2143920
17,40.761848426656606,-73.9614834233447,2016,5291000
18,40.7618748762873,-73.9586063953042,2014,1275000
19,40.7619445540531,-73.96166746788441,2016,3500000
20,40.761996,-73.95984399999999,2015,5122500
21,40.7619960831851,-73.9598444845585,2014,6429750
22,40.7619960831851,-73.9598444845585,2016,3213000
23,40.762278,-73.966071,2015,4161106
24,40.762278049078105,-73.9660712618092,2014,2521000
25,40.762278049078105,-73.9660712618092,2016,5048707
26,40.762322,-73.958725,2015,6254519
27,40.762322312062395,-73.9587252415215,2014,5860000
28,40.762322312062395,-73.9587252415215,2016,5690134
29,40.762419776572706,-73.9628331701782,2014,9154000
30,40.762419776572706,-73.9628331701782,2016,3255000
31,40.76242,-73.96283299999999,2015,11711500
32,40.762433,-73.962822,2015,5030000
33,40.7624334967908,-73.96282233302321,2014,5219000
34,40.7624334967908,-73.96282233302321,2016,8150000
35,40.76257899141589,-73.9628944486264,2014,465000
36,40.7626566053992,-73.9653382704433,2014,12796000
37,40.7626566053992,-73.9653382704433,2016,11738999
38,40.762657,-73.965338,2015,12788000
39,40.7628847496164,-73.95807511863609,2014,5752001
40,40.7628847496164,-73.95807511863609,2016,2107000
41,40.762885,-73.958075,2015,1897800
42,40.763059000000005,-73.962367,2015,4586388
43,40.7630591503669,-73.96236714056971,2014,2894000
44,40.7630591503669,-73.96236714056971,2016,5135499
45,40.763132080166294,-73.96751477504259,2014,515000
46,40.7631757128965,-73.9665256485389,2014,12597300
47,40.7631757128965,-73.9665256485389,2016,11120500
48,40.763176,-73.966526,2015,5635175
49,40.763178,-73.96658000000001,2015,2897000
50,40.763178473359105,-73.96657979525,2014,5309000
51,40.763178473359105,-73.96657979525,2016,5804000
52,40.763214000000005,-73.966663,2015,4655081
53,40.763245805798704,-73.9624067437512,2016,290000
54,40.763272,-73.958995,2015,4565500
55,40.7632720895661,-73.9589953938225,2014,4543000
56,40.7632720895661,-73.9589953938225,2016,5554000
57,40.76328226779479,-73.9648794902207,2016,96395269
58,40.763292,-73.961035,2015,19729525
59,40.763292010632895,-73.9610349634745,2014,23625000
60,40.763292010632895,-73.9610349634745,2016,27361500
61,40.7632959882037,-73.96486865334691,2014,4786000
62,40.7632959882037,-73.96486865334691,2016,4890000
63,40.763296000000004,-73.964869,2015,2100000
64,40.7633185510725,-73.9669118339978,2014,17271488
65,40.7633185510725,-73.9669118339978,2016,4940000
66,40.763319,-73.966912,2015,5233000
67,40.763508,-73.959122,2015,785000
68,40.763577691339606,-73.96171345659471,2016,40210834
69,40.763578,-73.961713,2015,65475213
70,40.763591,-73.961703,2015,6289740
71,40.7635914114501,-73.9617026190207,2014,4072600
72,40.7635914114501,-73.9617026190207,2016,9439000
73,40.76359830749279,-73.95786890539341,2014,485000
74,40.763704669259894,-73.9639443029226,2014,13454312
75,40.7637199170367,-73.9691967029185,2016,3900000
76,40.76372,-73.969197,2015,4700000
77,40.763735,-73.965912,2015,4995000
78,40.763735460340904,-73.9659116836319,2014,3240000
79,40.763735460340904,-73.9659116836319,2016,4137236
80,40.763815,-73.95838499999999,2015,2599000
81,40.7638153297232,-73.9583849849416,2014,4697000
82,40.7638153297232,-73.9583849849416,2016,3591062
83,40.7638248077709,-73.9619840576668,2014,640000
84,40.763839000000004,-73.96426600000001,2015,390000
85,40.7638392617157,-73.9642655119696,2016,2106000
86,40.7638928029006,-73.9690738859558,2014,3800000
87,40.7638928029006,-73.9690738859558,2016,3450000
88,40.763894,-73.964352,2015,10557750
89,40.7638941833939,-73.964352120392,2014,11248999
90,40.7638941833939,-73.964352120392,2016,2336000
91,40.763931,-73.96907,2015,14789541
92,40.763931228318796,-73.9690702581996,2014,50478213
93,40.7639469528455,-73.966413353557,2014,400000
94,40.763946999999995,-73.966413,2015,300000
95,40.76396435345121,-73.96068440828729,2016,358500
96,40.7639945689969,-73.96075297888491,2014,575000
97,40.7639945689969,-73.96075297888491,2016,850950
98,40.763995,-73.960753,2015,400000
99,40.764123660109895,-73.9610128173837,2014,4407252
100,40.764123660109895,-73.9610128173837,2016,4574901
101,40.764124,-73.961013,2015,2566500
102,40.764146799714204,-73.9646768785015,2014,425000
103,40.764146799714204,-73.9646768785015,2016,1500000
104,40.764146999999994,-73.96467700000001,2015,400000
105,40.764178614668104,-73.9611896716642,2014,12050000
106,40.764178614668104,-73.9611896716642,2016,8185000
107,40.764179,-73.96119,2015,12648000
108,40.7642846544611,-73.95831249302991,2016,10881500
109,40.764285,-73.958312,2015,13955000
110,40.764315,-73.968767,2015,145000
111,40.764315410372,-73.96876684526421,2014,12472087
112,40.764315410372,-73.96876684526421,2016,6525000
113,40.764394,-73.965579,2015,10502012
114,40.76439409963871,-73.96557923213,2014,8662858
