"Filing.Year","index","LATITUDE","LONGITUDE"
1990,100,40.760561,-73.960336
1990,100,40.760698,-73.958759
1990,100,40.760933,-73.957748
1990,100,40.761198,-73.960827
1990,100,40.761277,-73.957841
1990,100,40.761306,-73.962137
1990,100,40.761317,-73.962162
1990,100,40.761368,-73.960343
1990,100,40.76227,-73.96605
1990,100,40.762278,-73.966071
1990,100,40.762309,-73.959985
1990,100,40.762373,-73.962725
1990,100,40.762412,-73.964721
1990,100,40.762434,-73.962822
1990,100,40.76244,-73.964826
1990,100,40.762588,-73.962916
1990,100,40.76261,-73.9658
1990,100,40.762657,-73.965338
1990,100,40.76289,-73.956628
1990,100,40.76294,-73.958205
1990,100,40.762943,-73.967648
1990,100,40.762961,-73.964071
1990,100,40.762962,-73.958256
1990,100,40.763005,-73.962234
1990,100,40.763061,-73.95849
1990,100,40.763066,-73.964371
1990,100,40.763166,-73.959374
1990,100,40.763176,-73.966526
1990,100,40.763292,-73.961035
1990,100,40.763296,-73.964869
1990,100,40.763319,-73.966912
1990,100,40.763378,-73.962309
1990,100,40.763551,-73.961645
1990,100,40.763625,-73.96371
1990,100,40.763706,-73.958129
1990,100,40.76372,-73.969197
1990,100,40.763757,-73.956002
1990,100,40.763775,-73.96707
1990,100,40.763781,-73.960244
1990,100,40.763816,-73.958385
1990,100,40.763863,-73.968164
1990,100,40.763893,-73.969074
1990,100,40.763951,-73.960605
1990,100,40.763965,-73.960684
1990,100,40.763969,-73.96693
1990,100,40.763983,-73.966543
1990,100,40.764013,-73.966569
1990,100,40.764016,-73.966893
1990,100,40.764066,-73.960876
1990,100,40.764193,-73.970644
1990,100,40.764199,-73.955695
1990,100,40.764212,-73.961706
1990,100,40.764255,-73.967146
1990,100,40.764265,-73.964615
1990,100,40.76432,-73.964576
1990,100,40.764376,-73.967478
1990,100,40.764389,-73.9645
1990,100,40.764394,-73.965579
1990,100,40.764449,-73.965662
1990,100,40.764506,-73.970756
1990,100,40.764534,-73.963969
1990,100,40.764543,-73.968124
1990,100,40.764548,-73.963958
1990,100,40.764824,-73.962716
1990,100,40.764861,-73.956944
1990,100,40.764943,-73.957139
1990,100,40.765008,-73.955078
1990,100,40.765051,-73.968254
1990,100,40.765054,-73.967146
1990,100,40.765072,-73.964027
1990,100,40.765124,-73.965373
1990,100,40.765124,-73.965326
1990,100,40.765166,-73.96542
1990,100,40.765211,-73.953886
1990,100,40.765219,-73.968106
1990,100,40.765321,-73.969669
1990,100,40.765359,-73.954279
1990,100,40.765367,-73.96982
1990,100,40.765377,-73.957759
1990,100,40.765409,-73.971864
1990,100,40.765496,-73.968431
1990,100,40.765506,-73.957691
1990,100,40.765593,-73.963647
1990,100,40.765594,-73.965716
1990,100,40.765608,-73.96647
1990,100,40.765609,-73.972022
1990,100,40.765616,-73.957608
1990,100,40.76562,-73.962846
1990,100,40.765636,-73.967824
1990,100,40.765641,-73.957568
1990,100,40.765677,-73.96668
1990,100,40.765685,-73.958893
1990,100,40.765705,-73.969856
1990,100,40.765777,-73.963174
1990,100,40.765801,-73.969784
1990,100,40.765998,-73.959636
1990,100,40.766004,-73.969354
1990,100,40.766048,-73.971401
1990,100,40.766063,-73.957283
1990,100,40.766097,-73.959871
1990,100,40.766159,-73.957214
1990,100,40.766184,-73.956196
1990,100,40.766191,-73.969528
1990,100,40.766228,-73.967369
1990,100,40.766249,-73.96217
1990,100,40.766304,-73.9623
1990,100,40.766346,-73.956625
1990,100,40.766378,-73.971459
1990,100,40.766403,-73.957037
1990,100,40.76644,-73.968448
1990,100,40.76644,-73.958741
1990,100,40.766469,-73.964647
1990,100,40.766497,-73.967199
1990,100,40.766513,-73.964748
1990,100,40.766545,-73.970632
1990,100,40.766553,-73.953066
1990,100,40.766564,-73.970957
1990,100,40.76658,-73.96878
1990,100,40.766589,-73.953145
1990,100,40.766611,-73.953199
1990,100,40.766625,-73.961163
1990,100,40.76663,-73.968899
1990,100,40.766643,-73.959928
1990,100,40.766654,-73.95925
1990,100,40.766851,-73.966943
1990,100,40.766889,-73.96369
1990,100,40.766916,-73.961852
1990,100,40.76694,-73.968979
1990,100,40.766946,-73.971044
1990,100,40.766969,-73.956163
1990,100,40.766985,-73.956607
1990,100,40.767047,-73.969935
1990,100,40.767066,-73.968888
1990,100,40.767091,-73.959625
1990,100,40.767096,-73.966737
1990,100,40.767114,-73.964264
1990,100,40.767121,-73.970914
1990,100,40.767129,-73.968841
1990,100,40.767228,-73.968423
1990,100,40.76723,-73.958672
1990,100,40.767233,-73.958722
1990,100,40.767275,-73.960719
1990,100,40.767319,-73.960823
1990,100,40.767503,-73.955314
1990,100,40.767516,-73.969105
1990,100,40.767516,-73.966903
1990,100,40.767533,-73.969094
1990,100,40.767561,-73.955404
1990,100,40.767579,-73.968487
1990,100,40.767629,-73.968451
1990,100,40.76768,-73.966336
1990,100,40.767686,-73.968437
1990,100,40.767725,-73.953097
1990,100,40.767801,-73.967794
1990,100,40.767834,-73.958162
1990,100,40.767873,-73.952989
1990,100,40.767902,-73.955917
1990,100,40.767963,-73.958512
1990,100,40.768046,-73.960668
1990,100,40.768097,-73.966328
1990,100,40.768129,-73.962743
1990,100,40.768187,-73.954815
1990,100,40.76822,-73.963007
1990,100,40.768228,-73.95487
1990,100,40.768235,-73.968826
1990,100,40.768255,-73.954974
1990,100,40.76827,-73.965068
1990,100,40.768281,-73.957104
1990,100,40.768289,-73.957169
1990,100,40.768308,-73.957173
1990,100,40.768361,-73.957335
1990,100,40.768391,-73.967296
1990,100,40.768502,-73.969505
1990,100,40.768503,-73.957674
1990,100,40.768558,-73.957761
1990,100,40.768571,-73.96144
1990,100,40.768585,-73.963559
1990,100,40.768632,-73.955407
1990,100,40.768642,-73.962068
1990,100,40.768688,-73.967682
1990,100,40.768741,-73.954118
1990,100,40.768755,-73.954151
1990,100,40.768809,-73.968285
1990,100,40.768875,-73.954483
1990,100,40.768963,-73.960844
1990,100,40.768985,-73.954696
1990,100,40.769055,-73.956829
1990,100,40.769077,-73.95101
1990,100,40.769163,-73.969129
1990,100,40.76917,-73.957143
1990,100,40.769184,-73.957179
1990,100,40.769223,-73.968988
1990,100,40.769345,-73.961793
1990,100,40.769356,-73.963717
1990,100,40.769375,-73.95484
1990,100,40.769378,-73.962956
1990,100,40.769408,-73.954815
1990,100,40.769457,-73.953847
1990,100,40.769465,-73.967894
1990,100,40.76947,-73.969205
1990,100,40.76949,-73.960808
1990,100,40.769523,-73.954049
1990,100,40.769537,-73.954746
1990,100,40.769578,-73.954179
1990,100,40.769594,-73.95176
1990,100,40.76962,-73.956197
1990,100,40.769682,-73.968414
1990,100,40.769733,-73.956511
1990,100,40.769747,-73.966591
1990,100,40.76975,-73.966905
1990,100,40.769758,-73.966616
1990,100,40.769816,-73.951598
1990,100,40.76992,-73.951009
1990,100,40.769939,-73.967093
1990,100,40.769944,-73.963165
1990,100,40.76995,-73.964681
1990,100,40.769956,-73.951092
1990,100,40.769963,-73.957053
1990,100,40.769998,-73.9532
1990,100,40.770013,-73.967219
1990,100,40.770045,-73.949334
1990,100,40.770067,-73.954338
1990,100,40.770068,-73.959222
1990,100,40.770079,-73.959298
1990,100,40.770114,-73.964562
1990,100,40.770118,-73.953489
1990,100,40.770122,-73.954294
1990,100,40.770135,-73.961497
1990,100,40.770147,-73.963641
1990,100,40.770148,-73.959457
1990,100,40.770201,-73.961652
1990,100,40.770203,-73.959543
1990,100,40.770217,-73.959619
1990,100,40.770224,-73.949756
1990,100,40.770247,-73.96863
1990,100,40.770256,-73.953771
1990,100,40.770307,-73.95124
1990,100,40.77033,-73.961966
1990,100,40.770362,-73.966096
1990,100,40.77037,-73.950103
1990,100,40.770452,-73.950341
1990,100,40.770468,-73.956244
1990,100,40.770479,-73.950362
1990,100,40.770489,-73.954052
1990,100,40.770565,-73.957092
1990,100,40.770587,-73.950619
1990,100,40.77059,-73.952597
1990,100,40.770607,-73.968367
1990,100,40.77062,-73.966273
1990,100,40.770625,-73.964186
