"Filing.Year","LATITUDE","LONGITUDE","Total"
1990,40.768503,-73.957674,2
1990,40.768558,-73.957761,2
1990,40.768571,-73.96144,1
1990,40.768585,-73.963559,1
1990,40.768632,-73.955407,2
1990,40.768642,-73.962068,5
1990,40.768688,-73.967682,1
1990,40.768741,-73.954118,2
1990,40.768755,-73.954151,2
1990,40.768809,-73.968285,2
1990,40.768875,-73.954483,2
1990,40.768963,-73.960844,2
1990,40.768985,-73.954696,4
1990,40.769055,-73.956829,1
1990,40.769077,-73.95101,2
1990,40.769163,-73.969129,3
1990,40.76917,-73.957143,1
1990,40.769184,-73.957179,2
1990,40.769223,-73.968988,2
1990,40.769345,-73.961793,1
1990,40.769356,-73.963717,2
1990,40.769375,-73.95484,1
1990,40.769378,-73.962956,1
1990,40.769408,-73.954815,2
1990,40.769457,-73.953847,2
1990,40.769465,-73.967894,2
1990,40.76947,-73.969205,2
1990,40.76949,-73.960808,1
1990,40.769523,-73.954049,2
1990,40.769537,-73.954746,3
1990,40.769578,-73.954179,2
1990,40.769594,-73.95176,1
1990,40.76962,-73.956197,3
1990,40.769682,-73.968414,1
1990,40.769733,-73.956511,1
1990,40.769747,-73.966591,1
1990,40.76975,-73.966905,1
1990,40.769758,-73.966616,3
1990,40.769816,-73.951598,2
1990,40.76992,-73.951009,2
1990,40.769939,-73.967093,3
1990,40.769944,-73.963165,1
1990,40.76995,-73.964681,2
1990,40.769956,-73.951092,2
1990,40.769963,-73.957053,1
1990,40.769998,-73.9532,2
1990,40.770013,-73.967219,1
1990,40.770045,-73.949334,3
1990,40.770067,-73.954338,1
1990,40.770068,-73.959222,1
1990,40.770079,-73.959298,1
1990,40.770114,-73.964562,3
1990,40.770118,-73.953489,6
1990,40.770122,-73.954294,1
1990,40.770135,-73.961497,6
1990,40.770147,-73.963641,2
1990,40.770148,-73.959457,2
1990,40.770201,-73.961652,4
1990,40.770203,-73.959543,2
1990,40.770217,-73.959619,2
1990,40.770224,-73.949756,3
1990,40.770247,-73.96863,1
1990,40.770256,-73.953771,3
1990,40.770307,-73.95124,3
1990,40.77033,-73.961966,4
1990,40.770362,-73.966096,3
1990,40.77037,-73.950103,3
1990,40.770452,-73.950341,2
1990,40.770468,-73.956244,5
1990,40.770479,-73.950362,3
1990,40.770489,-73.954052,1
1990,40.770565,-73.957092,1
1990,40.770587,-73.950619,3
1990,40.77059,-73.952597,7
1990,40.770607,-73.968367,1
1990,40.77062,-73.966273,2
1990,40.770625,-73.964186,5
1990,40.770625,-73.950705,2
1990,40.770659,-73.95276,1
1990,40.77069,-73.962818,1
1990,40.770722,-73.959886,1
1990,40.770743,-73.965056,2
1990,40.770755,-73.958929,1
1990,40.770766,-73.95385,3
1990,40.770792,-73.949041,3
1990,40.770803,-73.95507,1
1990,40.770819,-73.947781,5
1990,40.770835,-73.961922,2
1990,40.770873,-73.967316,3
1990,40.770889,-73.959207,1
1990,40.770891,-73.966074,2
1990,40.770915,-73.961233,2
1990,40.77094,-73.949387,3
1990,40.770979,-73.950723,2
1990,40.771002,-73.967666,2
1990,40.771006,-73.949499,1
1990,40.771014,-73.949561,2
1990,40.77104,-73.96776,1
1990,40.77105,-73.949647,3
1990,40.771081,-73.950672,1
1990,40.771086,-73.949734,3
1990,40.77116,-73.949907,3
1990,40.771219,-73.947466,1
1990,40.771248,-73.950073,1
1990,40.771249,-73.953496,1
1990,40.771251,-73.950521,1
1990,40.771315,-73.953449,1
1990,40.77132,-73.958308,1
1990,40.771346,-73.963637,4
1990,40.771425,-73.962489,3
1990,40.771446,-73.966727,1
1990,40.771513,-73.946903,1
1990,40.771523,-73.966915,3
1990,40.771524,-73.952846,2
1990,40.77154,-73.960749,2
1990,40.771559,-73.960842,2
1990,40.771579,-73.95499,5
1990,40.771585,-73.96346,3
1990,40.771621,-73.96346,3
1990,40.771631,-73.961008,4
1990,40.771637,-73.955124,1
1990,40.771671,-73.965142,3
1990,40.771752,-73.949152,1
1990,40.77178,-73.95542,2
1990,40.771791,-73.949289,2
1990,40.77187,-73.961575,3
1990,40.771882,-73.956131,1
1990,40.771912,-73.957745,1
1990,40.771921,-73.951708,1
1990,40.771925,-73.961665,2
1990,40.771929,-73.957734,2
1990,40.771938,-73.946942,2
1990,40.771954,-73.958979,1
1990,40.77197,-73.96738,2
1990,40.771972,-73.963203,2
1990,40.771974,-73.959817,2
1990,40.772004,-73.952946,5
1990,40.772009,-73.957968,1
1990,40.772032,-73.961918,1
1990,40.772045,-73.951997,1
1990,40.77205,-73.966088,2
1990,40.772063,-73.965243,6
1990,40.772064,-73.952903,2
1990,40.772152,-73.952257,1
1990,40.77216,-73.946783,2
1990,40.772169,-73.946801,4
1990,40.772239,-73.958795,4
1990,40.772308,-73.94653,1
1990,40.772439,-73.955722,1
1990,40.772439,-73.949686,1
1990,40.772439,-73.948816,1
1990,40.772443,-73.946577,2
1990,40.772448,-73.952621,1
1990,40.77249,-73.952567,2
1990,40.772496,-73.963311,1
1990,40.772501,-73.946559,1
1990,40.772527,-73.949621,3
1990,40.772546,-73.957286,1
1990,40.77255,-73.95925,1
1990,40.772551,-73.962755,2
1990,40.772607,-73.951184,1
1990,40.772627,-73.961409,2
1990,40.772629,-73.951278,2
1990,40.772633,-73.961376,1
1990,40.772654,-73.966886,3
1990,40.772689,-73.965449,2
1990,40.772736,-73.957733,1
1990,40.77275,-73.957766,6
1990,40.772791,-73.957863,1
1990,40.772818,-73.957885,1
1990,40.772833,-73.946295,8
1990,40.772839,-73.953892,1
1990,40.772842,-73.963842,2
1990,40.772855,-73.953924,1
1990,40.772906,-73.966246,5
1990,40.772913,-73.962517,2
1990,40.772919,-73.964618,2
1990,40.77296,-73.964167,1
1990,40.772968,-73.954151,1
1990,40.773025,-73.954289,1
1990,40.773031,-73.948248,2
1990,40.773124,-73.95457,1
1990,40.773155,-73.956758,2
1990,40.77316,-73.960701,1
1990,40.773171,-73.948584,1
1990,40.773217,-73.958874,2
1990,40.77323,-73.966456,3
1990,40.773242,-73.962278,2
1990,40.773249,-73.956982,1
1990,40.773263,-73.950768,1
1990,40.773299,-73.94502,1
1990,40.773309,-73.96495,1
1990,40.77331,-73.95088,3
1990,40.773342,-73.965029,2
1990,40.773399,-73.962137,1
1990,40.773428,-73.953129,4
1990,40.773436,-73.945327,1
1990,40.773438,-73.95739,2
1990,40.773494,-73.953288,1
1990,40.773508,-73.953368,3
1990,40.773538,-73.945558,2
1990,40.773593,-73.953523,2
1990,40.773597,-73.963665,3
1990,40.773681,-73.947822,2
1990,40.773753,-73.947992,2
1990,40.773759,-73.948721,4
1990,40.773822,-73.948204,3
1990,40.773833,-73.96395,3
