"","sale_id","year","nbhd","block","lot","address","zip","sale_date","price","long","lat"
"1754",49290,"2015","UPPER EAST SIDE (59-79)","1392","30","71 EAST 77TH STREET, 8A","10075","03/11/2015",599000,-73.96231,40.774686
"1755",49290,"2016","UPPER EAST SIDE (79-96)","1512","52","144 EAST 84TH STREET, 8B","10028","09/27/2016",750000,-73.9561663791553,40.7780103001616
"1756",49291,"2016","UPPER EAST SIDE (79-96)","1512","59","124 EAST 84TH STREET, 6B","10028","10/13/2016",1850000,-73.9570904612072,40.7784004005604
"1757",49292,"2016","UPPER EAST SIDE (79-96)","1512","62","114 EAST 84TH STREET, 3A","10028","07/06/2016",2495000,-73.9574008986857,40.7785295183528
"1758",49293,"2015","UPPER EAST SIDE (59-79)","1392","46","52 EAST 78TH STREET, 10AB","10075","09/02/2015",1100000,-73.962107,40.77541
"1759",49294,"2015","UPPER EAST SIDE (59-79)","1392","70","965 FIFTH AVENUE, 15B","10075","05/27/2015",4750000,-73.964418,40.776034
"1760",49296,"2015","UPPER EAST SIDE (59-79)","1393","33","888 PARK AVENUE, 13A","10075","03/25/2015",4450000,-73.960772,40.7753
"1761",49296,"2016","UPPER EAST SIDE (79-96)","1512","123","135 EAST 83RD STREET, 10D","10028","03/07/2016",986000,-73.9567625043617,40.7774505990784
"1762",49297,"2016","UPPER EAST SIDE (79-96)","1512","123","135 EAST 83RD STREET, 1A","10028","06/06/2016",720000,-73.9567625043617,40.7774505990784
"1763",49298,"2016","UPPER EAST SIDE (79-96)","1512","123","135 EAST 83 STREET, 6D","10028","06/29/2016",1200000,-73.9567625043617,40.7774505990784
"1764",49299,"2016","UPPER EAST SIDE (79-96)","1512","123","135 EAST 83RD STREET, 7B","10028","10/25/2016",750000,-73.9567625043617,40.7774505990784
"1765",49300,"2015","UPPER EAST SIDE (59-79)","1393","52","50 EAST 79TH STREET, 3F","10075","07/16/2015",599000,-73.961616,40.776096
"1766",49300,"2016","UPPER EAST SIDE (79-96)","1513","1","1001 PARK AVENUE, 5S","10028","11/04/2016",2625000,-73.9580505281317,40.7790018513195
"1767",49301,"2015","UPPER EAST SIDE (59-79)","1393","52","50 EAST 79TH STREET, 17A","10075","08/10/2015",3950000,-73.961616,40.776096
